"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"ARARAQUARA",9,"2024-06-26","covid","Previsto",2024-06-05,0.72025,0.2,0,0.52025,1,1,1
"ARARAQUARA",9,"2024-07-04","covid","Previsto",2024-06-05,0.83025,0.2,0,0.63025,1,1,1
"ARARAQUARA",6,"2024-07-23","covid","Previsto",2024-07-06,277.512749999997,2.6,0,274.912749999997,9,0,1
"ARARAQUARA",6,"2024-08-14","covid","Previsto",2024-08-07,8.05624999999999,0,0.4,7.65624999999999,2,1,1
"ARARAQUARA",6,"2024-08-21","covid","Previsto",2024-08-09,6.2805,0,1.4,4.8805,7,1,1
"ARARAQUARA",7,"2024-08-28","covid","Previsto",2024-08-21,62.9742499999999,13.6,0,49.3742499999999,42,0,1
"ARARAQUARA",8,"2024-09-03","covid","Previsto",2024-08-27,12.26875,2.4,0,9.86874999999999,12,1,1
"ARARAQUARA",9,"2024-09-11","covid","Previsto",2024-09-04,18.5255,8.1,0,10.4255,31,0,1
"ARARAQUARA",10,"2024-09-18","covid","Previsto",2024-09-10,16.7505,10.8,0,5.9505,28,0,1
"ARARAQUARA",10,"2024-09-25","covid","Previsto",2024-09-17,2.14,0,0.8,1.34,4,1,1
"ARARAQUARA",11,"2024-10-02","covid","Previsto",2024-09-25,1.06,0,0.2,0.86,1,1,1
"ARAÇATUBA",12,"2023-05-31","covid","Previsto",2023-05-30,0.8,0.2,0,0.6,1,1,1
"ARAÇATUBA",12,"2023-06-06","covid","Previsto",2023-06-02,0.65,0,0.2,0.45,1,1,1
"ARAÇATUBA",12,"2023-06-14","covid","Previsto",2023-06-02,0.35,0,0,0.35,0,1,1
"ARAÇATUBA",12,"2023-06-20","covid","Previsto",2023-05-30,1.23,0.4,0,0.83,2,1,1
"ARAÇATUBA",12,"2023-07-06","covid","Previsto",2023-06-27,0.63,0.2,0,0.43,1,1,1
"ARAÇATUBA",12,"2023-07-19","covid","Previsto",2023-07-15,0.980749999999999,0.2,0,0.780749999999999,1,1,1
"ARAÇATUBA",12,"2023-07-25","covid","Previsto",2023-07-12,0.51,0,0,0.51,0,1,1
"ARAÇATUBA",12,"2023-08-02","covid","Previsto",2023-08-01,1.07025,0.2,0,0.87025,1,1,1
"ARAÇATUBA",12,"2023-08-08","covid","Previsto",2023-08-08,1.42025,0.4,0,1.02025,2,1,1
"ARAÇATUBA",11,"2023-08-16","covid","Previsto",2023-08-16,1.93,0,1.2,0.73,4,0,1
"ARAÇATUBA",12,"2023-08-23","covid","Previsto",2023-08-23,1.35,0.2,0,1.15,1,1,1
"ARAÇATUBA",12,"2023-08-30","covid","Previsto",2023-08-30,1.83,1,0,0.83,3,0,1
"ARAÇATUBA",12,"2023-09-06","covid","Previsto",2023-09-05,2.66,0,1.8,0.86,5,0,1
"ARAÇATUBA",12,"2023-09-19","covid","Previsto",2023-09-19,1.32,0,0.2,1.12,1,1,1
"ARAÇATUBA",12,"2023-09-27","covid","Previsto",2023-09-27,3.87025,2.6,0,1.27025,7,0,1
"ARAÇATUBA",12,"2023-10-06","covid","Previsto",2023-09-28,3.82,2.6,0,1.22,7,0,1
"ARAÇATUBA",12,"2023-10-11","covid","Previsto",2023-10-11,1.16,0.2,0,0.96,1,1,1
"ARAÇATUBA",12,"2023-10-18","covid","Previsto",2023-10-18,4.92,0,4.2,0.72,9,0,1
