"","virus","tipo","widow","DRS","n","cob50","cob95","WIS","dispersao","subprev","superprev","MAE"
"55","covid","nowcaster",NA,"BARRETOS",60,58.3,98.3,2.7,1.3,0,0.4,3
"56","covid","nowcaster",NA,"BAURU",60,55,95,3.2,1.2,0.3,0,4
"57","covid","nowcaster",NA,"CAMPINAS",60,33.3,88.3,6.5,1.5,3.8,0,11.5
"58","covid","nowcaster",NA,"FRANCA",60,55,100,1.9,1.1,0,0.1,1
"59","covid","nowcaster",NA,"GRANDE SÃO PAULO",60,28.3,88.3,16.9,4.3,5.9,0,25
"60","covid","nowcaster",NA,"MARÍLIA",60,60,98.3,2.6,1.3,0.1,0,3.5
"61","covid","nowcaster",NA,"PIRACICABA",60,43.3,93.3,2.9,1.1,0,0,4
"62","covid","nowcaster",NA,"PRESIDENTE PRUDENTE",60,58.3,98.3,3.1,1.9,0,0.2,3
"63","covid","nowcaster",NA,"REGISTRO",60,50,93.3,6.3,5,0,0.8,2
"64","covid","nowcaster",NA,"RIBEIRÃO PRETO",60,56.7,100,2.4,1.3,0.2,0,3
"65","covid","nowcaster",NA,"SOROCABA",60,61.7,100,2.2,1.3,0.2,0,3
"66","covid","nowcaster",NA,"SÃO JOSÉ DO RIO PRETO",60,51.7,91.7,3.2,1.1,0.9,0,5
"67","covid","nowcaster",NA,"SÃO JOÃO DA BOA VISTA",60,70,100,2,1.1,0,0,2
"68","covid","nowcaster",NA,"TAUBATÉ",60,43.3,91.7,3.6,1.3,0.8,0,6.5
"69","srag","com_atraso",10,"ARARAQUARA",60,28.3,70,4.3,0.7,3.3,0,8
"70","srag","com_atraso",10,"ARAÇATUBA",60,35,76.7,4.6,0.7,3.5,0,8
"71","srag","com_atraso",10,"BAIXADA SANTISTA",60,1.7,23.3,29,0.9,27.7,0,35
"72","srag","com_atraso",10,"BARRETOS",60,51.7,90,1.5,0.5,0.4,0,3
"73","srag","com_atraso",10,"BAURU",60,11.7,23.3,29,0.8,27.7,0,35.5
"74","srag","com_atraso",10,"CAMPINAS",60,8.3,18.3,62,3.4,56.4,0,92
"75","srag","com_atraso",10,"FRANCA",60,35,70,3.1,0.5,2.3,0,6
"76","srag","com_atraso",10,"GRANDE SÃO PAULO",60,8.3,8.3,322.3,6.6,314.8,0,378.5
"77","srag","com_atraso",10,"MARÍLIA",60,13.3,35,22.6,1.1,19.7,0,30
"78","srag","com_atraso",10,"PIRACICABA",60,16.7,35,16.8,0.8,16.1,0,21
"79","srag","com_atraso",10,"PRESIDENTE PRUDENTE",60,40,85,2.4,0.5,1,0,4
