"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-01-25,15,7,27,12,19,13,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
2,2023-02-01,17,8,27,14,21,18,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
3,2023-02-08,19,10,30,16,22,18,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
4,2023-02-15,21,11,34,18,25,17,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
5,2023-02-22,24,14,37,20,28,32,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
6,2023-03-01,26,15,38.025,22,30,24,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
7,2023-03-08,27,16,40,23.75,31,28,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
8,2023-03-15,28.5,17,44.025,24,33,27,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
9,2023-03-22,30,17,44,25,34,30,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
10,2023-03-29,29,18,43,25,34,36,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
11,2023-04-05,28,16,41,24,32,32,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
12,2023-04-12,26,15,39,22,31,19,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
13,2023-04-19,24,14,37.025,21,29,26,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
14,2023-04-26,22,12,34,19,26,24,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
15,2023-05-03,20,11,31,17,24,18,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
16,2023-05-10,19,10,30,16,22,19,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
17,2023-05-17,17,9,27,14,20,20,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
18,2023-05-24,16,8,26,13,19,16,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
19,2023-05-31,14,7,23.025,11,17,10,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
20,2023-06-07,13,7,23,11,16,8,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
21,2023-06-14,13,6,23,10,16,15,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
22,2023-06-21,13,6,22,10,16,20,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
23,2023-06-28,12,5,21,10,15,15,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
24,2023-07-05,12,5,20,9,15,9,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
25,2023-07-12,12,5,19,9,14,8,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
26,2023-07-19,11,5,20,9,14,8,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
27,2023-07-26,11,5,20,9,14,11,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
28,2023-08-02,12,5,20,9,14,15,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
29,2023-08-09,12,5,20,9,14.25,14,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
30,2023-08-16,12,5,21.025,9,15,15,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
31,2023-08-23,11,4,21,8,14,8,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
32,2023-08-30,11,4,23,8,15,NA,2023-09-06,"ARAÇATUBA","30","srag","com_atraso"
1,2023-01-24,9,3,18,7,12,7,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
2,2023-01-31,12,4,21,9,14,12,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
3,2023-02-07,14,6.975,24,11,17,16,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
4,2023-02-14,17,9,28,14,20,17,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
5,2023-02-21,20,11,32,17,24,16,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
6,2023-02-28,24,14,36.025,20,28,19,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
7,2023-03-07,28,15,40,24,32,38,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
8,2023-03-14,29,17.975,45,25,35,36,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
9,2023-03-21,29,17,44,25,34,33,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
10,2023-03-28,28,16,42,23,32,22,2023-09-06,"ARARAQUARA","30","srag","com_atraso"
