"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-11-22,11,3,25,8,15,13,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
2,2023-11-29,10,3,22,7,13,8,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
3,2023-12-06,9,3,18,6,12,11,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
4,2023-12-13,8,2,16,5,10,9,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
5,2023-12-20,7,1,14,5,9,4,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
6,2023-12-27,6,1,14,4,8,5,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
7,2024-01-03,5,1,13,4,8,6,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
8,2024-01-10,5,1,12,3,7,4,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
9,2024-01-17,5,1,12,3,7,9,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
10,2024-01-24,4,1,11,3,6,6,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
11,2024-01-31,3,0,11,2,5,1,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
12,2024-02-07,3,0,10,1,5,NA,2024-02-07,"ARAÇATUBA","8 ou 10","srag","com_atraso"
1,2023-11-22,6,1,20,4,9,5,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
2,2023-11-29,6,1,16.025,4,9,7,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
3,2023-12-06,6,1,15,4,8,12,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
4,2023-12-13,5,1,13,3,7,2,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
5,2023-12-20,5,0.975000000000001,12,3,7,2,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
6,2023-12-27,4,0,12,3,6,6,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
7,2024-01-03,4,0,11,3,6,5,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
8,2024-01-10,4,0,11,3,6,4,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
9,2024-01-17,4,0,11.025,2,6,6,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
10,2024-01-24,3,0,10.025,2,5,5,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
11,2024-01-31,3,0,10,1,4,1,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
12,2024-02-07,2,0,11,1,4,NA,2024-02-07,"ARARAQUARA","8 ou 10","srag","com_atraso"
1,2023-11-22,37,20,64.05,31,44,35,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","com_atraso"
2,2023-11-29,37,20.975,59.025,31,43,39,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","com_atraso"
3,2023-12-06,33,17,53,28,39,31,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","com_atraso"
4,2023-12-13,31,16,53,26,36,36,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","com_atraso"
5,2023-12-20,27,14,44,22,32,24,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","com_atraso"
