"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2022-12-20,23,8,42,17,28,24,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
2,2022-12-27,17,7,30,13,21,19,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
3,2023-01-03,13,5,26,10,17,14,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
4,2023-01-10,10,3,20,7,13,14,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
5,2023-01-17,8,2,17,5,10,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
6,2023-01-24,7,2,15.025,5,9,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
7,2023-01-31,6,2,15,4,9,7,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
8,2023-02-07,6,1,14,4,8,3,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
9,2023-02-14,7,2,15,5,9,10,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
10,2023-02-21,7,2,16,5,10,12,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
11,2023-02-28,7,2,15,5,10,7,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
12,2023-03-07,7,2,14,5,9,9,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
13,2023-03-14,6,2,14,5,9,8,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
14,2023-03-21,6,1,12,4,8,3,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
15,2023-03-28,5,1,11,3,7,7,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
16,2023-04-04,4,1,10,3,6,5,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
17,2023-04-11,4,0,9,2,5,4,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
18,2023-04-18,3,0,8,2,5,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
19,2023-04-25,3,0,7.02499999999998,2,4,1,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
20,2023-05-02,2,0,7,1,4,4,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
21,2023-05-09,2,0,6,1,3,3,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
22,2023-05-16,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
23,2023-05-23,2,0,6,1,3,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
24,2023-05-30,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
25,2023-06-06,2,0,6,1,3,4,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
26,2023-06-13,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
27,2023-06-20,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
28,2023-06-27,2,0,5,1,3,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
29,2023-07-04,2,0,6,1,3,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
30,2023-07-11,2,0,7,1,3,2,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
31,2023-07-18,2,0,7,1,3,3,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
32,2023-07-25,2,0,10,1,4,NA,2023-08-02,"ARAÇATUBA","30","covid","com_atraso"
1,2022-12-23,25,9,50,19,31,23,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
2,2022-12-30,18,6,34,13,22,26,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
3,2023-01-06,11,3,22.025,8,15,12,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
4,2023-01-13,7,2,18,5,10,4,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
5,2023-01-20,5,1,15,4,8,6,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
6,2023-01-27,5,1,13,3,7,1,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
7,2023-02-03,5,1,12,3,7,3,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
8,2023-02-10,6,1,13,4,7,6,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
9,2023-02-17,6,1,14,4,9,9,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
10,2023-02-24,7,1,16,5,10,9,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
11,2023-03-03,8,2,16,6,10,6,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
12,2023-03-10,8,2,17,6,11,14,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
13,2023-03-17,7,2,16,5,10,7,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
14,2023-03-24,6,1,15,4,8,8,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
15,2023-03-31,5,1,12.025,3,7,4,2023-08-02,"ARARAQUARA","30","covid","com_atraso"
