"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-05-09,2,0,8,1,3,3,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
2,2023-05-16,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
3,2023-05-23,2,0,5,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
4,2023-05-30,2,0,5,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
5,2023-06-06,2,0,6,1,3,4,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
6,2023-06-13,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
7,2023-06-20,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
8,2023-06-27,2,0,6,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
9,2023-07-04,2,0,6,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
10,2023-07-11,2,0,7,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
11,2023-07-18,2,0,8,1,4,3,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
12,2023-07-25,2,0,11.025,1,4,NA,2023-08-02,"ARAÇATUBA","10","covid","com_atraso"
1,2023-05-12,3,0,10,2,5,4,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
2,2023-05-19,3,0,8,2,4,3,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
3,2023-05-26,2,0,7,1,4,2,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
4,2023-06-02,2,0,7,1,3,2,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
5,2023-06-09,2,0,6,1,3,1,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
6,2023-06-16,2,0,6,1,3,2,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
7,2023-06-23,2,0,6,1,3,3,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
8,2023-06-30,2,0,6.02499999999998,1,3,1,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
9,2023-07-07,2,0,6,1,3,3,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
10,2023-07-14,2,0,6,1,3,3,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
11,2023-07-21,2,0,7,1,3,1,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
12,2023-07-28,2,0,8,1,3,NA,2023-08-02,"ARARAQUARA","10","covid","com_atraso"
1,2023-05-09,3,0,9,2,5,3,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
2,2023-05-16,3,0,8,2,4,3,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
3,2023-05-23,3,0,8,2,4,2,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
4,2023-05-30,3,0,8,2,4,NA,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
5,2023-06-06,3,0,8,1,4,5,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
6,2023-06-13,2,0,7,1,4,2,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
7,2023-06-20,2,0,7,1,3,3,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
8,2023-06-27,2,0,7,1,3,2,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
9,2023-07-04,2,0,6,1,3,2,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
10,2023-07-11,2,0,6,1,3,1,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
11,2023-07-18,2,0,7,1,3,2,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
12,2023-07-25,1,0,9,0,3,NA,2023-08-02,"BAIXADA SANTISTA","10","covid","com_atraso"
1,2023-05-10,2,0,9,1,4,2,2023-08-02,"BARRETOS","10","covid","com_atraso"
2,2023-05-17,2,0,7.02499999999998,1,3,NA,2023-08-02,"BARRETOS","10","covid","com_atraso"
3,2023-05-24,2,0,6,1,3,3,2023-08-02,"BARRETOS","10","covid","com_atraso"
4,2023-05-31,1,0,6,1,2,1,2023-08-02,"BARRETOS","10","covid","com_atraso"
5,2023-06-07,1,0,5,0,2,1,2023-08-02,"BARRETOS","10","covid","com_atraso"
6,2023-06-14,1,0,5,0,2,NA,2023-08-02,"BARRETOS","10","covid","com_atraso"
7,2023-06-21,1,0,5,0,2,2,2023-08-02,"BARRETOS","10","covid","com_atraso"
8,2023-06-28,1,0,5,0,2,1,2023-08-02,"BARRETOS","10","covid","com_atraso"
9,2023-07-05,1,0,5,0,2,NA,2023-08-02,"BARRETOS","10","covid","com_atraso"
10,2023-07-12,1,0,5,0,2,NA,2023-08-02,"BARRETOS","10","covid","com_atraso"
11,2023-07-19,1,0,6,0,2,1,2023-08-02,"BARRETOS","10","covid","com_atraso"
12,2023-07-26,1,0,7,0,2,NA,2023-08-02,"BARRETOS","10","covid","com_atraso"
1,2023-04-20,6,0,16,3,8,8,2023-08-02,"BAURU","10","covid","com_atraso"
2,2023-04-27,5,0,14,3,7,1,2023-08-02,"BAURU","10","covid","com_atraso"
3,2023-05-04,5,1,13,3,7,5,2023-08-02,"BAURU","10","covid","com_atraso"
4,2023-05-11,5,0,14,3,8,8,2023-08-02,"BAURU","10","covid","com_atraso"
5,2023-05-18,5,0,12.025,3,7,4,2023-08-02,"BAURU","10","covid","com_atraso"
6,2023-05-25,5,1,14.025,3,7,6,2023-08-02,"BAURU","10","covid","com_atraso"
7,2023-06-01,4.5,0,13,3,7,NA,2023-08-02,"BAURU","10","covid","com_atraso"
8,2023-06-08,4,0,13,3,6,3,2023-08-02,"BAURU","10","covid","com_atraso"
9,2023-06-15,4,0,13,2,6,6,2023-08-02,"BAURU","10","covid","com_atraso"
10,2023-06-22,4,0,11,2,6,7,2023-08-02,"BAURU","10","covid","com_atraso"
11,2023-06-29,3,0,11,2,5,1,2023-08-02,"BAURU","10","covid","com_atraso"
12,2023-07-06,3,0,13,1,5,NA,2023-08-02,"BAURU","10","covid","com_atraso"
1,2023-05-09,13,5,26.025,10,16,13,2023-08-02,"CAMPINAS","10","covid","com_atraso"
2,2023-05-16,13,5,24,9,16,12,2023-08-02,"CAMPINAS","10","covid","com_atraso"
3,2023-05-23,13,5,23,10,15,14,2023-08-02,"CAMPINAS","10","covid","com_atraso"
4,2023-05-30,12,5,24,9,15,11,2023-08-02,"CAMPINAS","10","covid","com_atraso"
5,2023-06-06,12,5,23,9,15,10,2023-08-02,"CAMPINAS","10","covid","com_atraso"
6,2023-06-13,12,4,23,9,15,15,2023-08-02,"CAMPINAS","10","covid","com_atraso"
7,2023-06-20,11,4,23,8,14,13,2023-08-02,"CAMPINAS","10","covid","com_atraso"
8,2023-06-27,10,3,20,7,13,10,2023-08-02,"CAMPINAS","10","covid","com_atraso"
9,2023-07-04,8,2,17,6,11,9,2023-08-02,"CAMPINAS","10","covid","com_atraso"
