"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-11-15,2,0,8,1,4,4,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
2,2023-11-22,2,0,7,1,3,1,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
3,2023-11-29,2,0,7,1,3,1,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
4,2023-12-06,2,0,7,1,3,3,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
5,2023-12-13,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
6,2023-12-20,2,0,7,1,4,2,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
7,2023-12-27,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
8,2024-01-03,3,0,8,2,4,3,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
9,2024-01-10,3,0,8,1,4,2,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
10,2024-01-17,3,0,9,2,5,5,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
11,2024-01-24,3,0,10,2,5,3,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
12,2024-01-31,4,0,14,2,6,NA,2024-02-07,"ARAÇATUBA","10","covid","com_atraso"
1,2023-11-22,3,0,11,1,5,3,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
2,2023-11-29,3,0,10,2,5,1,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
3,2023-12-06,3,0,10,2,5,7,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
4,2023-12-13,3,0,10,2,5,NA,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
5,2023-12-20,3,0,9,1,4,1,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
6,2023-12-27,3,0,8,1,4,4,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
7,2024-01-03,3,0,8,1,4,3,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
8,2024-01-10,2,0,8,1,4,2,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
9,2024-01-17,2,0,7.02499999999998,1,3.25,4,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
10,2024-01-24,2,0,6,1,3,1,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
11,2024-01-31,1,0,7,0,3,1,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
12,2024-02-07,1,0,8,0,2,NA,2024-02-07,"ARARAQUARA","10","covid","com_atraso"
1,2023-11-22,6,1,15,4,8,6,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
2,2023-11-29,5,1,13,3,7,5,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
3,2023-12-06,5,1,11,3,6,7,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
4,2023-12-13,4,1,10,3,6,4,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
5,2023-12-20,3,0,9,2,5,2,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
6,2023-12-27,3,0,8,2,5,1,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
7,2024-01-03,3,0,8,2,5,4,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
8,2024-01-10,3,0,9,2,5,5,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
9,2024-01-17,3,0,8,2,4,4,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
10,2024-01-24,2,0,7,1,4,3,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
11,2024-01-31,2,0,7,1,3,1,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
12,2024-02-07,2,0,7.02499999999998,1,3,NA,2024-02-07,"BAIXADA SANTISTA","10","covid","com_atraso"
1,2023-11-18,1,0,6,0,2,2,2024-02-07,"BARRETOS","10","covid","com_atraso"
2,2023-11-25,1,0,6,0,2,1,2024-02-07,"BARRETOS","10","covid","com_atraso"
3,2023-12-02,1,0,5,0,2,NA,2024-02-07,"BARRETOS","10","covid","com_atraso"
4,2023-12-09,1,0,6,0,2,1,2024-02-07,"BARRETOS","10","covid","com_atraso"
5,2023-12-16,1,0,5,0,2,NA,2024-02-07,"BARRETOS","10","covid","com_atraso"
6,2023-12-23,1,0,5,0,2,NA,2024-02-07,"BARRETOS","10","covid","com_atraso"
7,2023-12-30,1,0,5,0,2,1,2024-02-07,"BARRETOS","10","covid","com_atraso"
8,2024-01-06,1,0,6,1,2,1,2024-02-07,"BARRETOS","10","covid","com_atraso"
9,2024-01-13,2,0,6,1,3,2,2024-02-07,"BARRETOS","10","covid","com_atraso"
10,2024-01-20,2,0,7,1,3,4,2024-02-07,"BARRETOS","10","covid","com_atraso"
11,2024-01-27,2,0,8,1,4,1,2024-02-07,"BARRETOS","10","covid","com_atraso"
12,2024-02-03,2,0,13,1,4,NA,2024-02-07,"BARRETOS","10","covid","com_atraso"
1,2023-11-08,10,3,21,7,13,9,2024-02-07,"BAURU","10","covid","com_atraso"
2,2023-11-15,8,2,18,6,11,12,2024-02-07,"BAURU","10","covid","com_atraso"
3,2023-11-22,7,1.975,15,5,10,4,2024-02-07,"BAURU","10","covid","com_atraso"
4,2023-11-29,6,1,14,4,8,8,2024-02-07,"BAURU","10","covid","com_atraso"
5,2023-12-06,5,1,13,3,8,NA,2024-02-07,"BAURU","10","covid","com_atraso"
6,2023-12-13,4,1,11,3,7,4,2024-02-07,"BAURU","10","covid","com_atraso"
7,2023-12-20,4,0,11,3,6,6,2024-02-07,"BAURU","10","covid","com_atraso"
8,2023-12-27,4,0,9,2,5,1,2024-02-07,"BAURU","10","covid","com_atraso"
9,2024-01-03,4,0,9,2,5,4,2024-02-07,"BAURU","10","covid","com_atraso"
10,2024-01-10,3,0,9.02499999999998,2,5,3,2024-02-07,"BAURU","10","covid","com_atraso"
11,2024-01-17,3,0,11,2,5,5,2024-02-07,"BAURU","10","covid","com_atraso"
12,2024-01-24,3,0,15,2,5,NA,2024-02-07,"BAURU","10","covid","com_atraso"
1,2023-11-08,45,22,74.025,37,52,45,2024-02-07,"CAMPINAS","10","covid","com_atraso"
2,2023-11-15,30,15,48,25,35,32,2024-02-07,"CAMPINAS","10","covid","com_atraso"
3,2023-11-22,20,10,37,16,25,24,2024-02-07,"CAMPINAS","10","covid","com_atraso"
4,2023-11-29,14,6,26,10,17,9,2024-02-07,"CAMPINAS","10","covid","com_atraso"
5,2023-12-06,11,4,21,8,14,9,2024-02-07,"CAMPINAS","10","covid","com_atraso"
6,2023-12-13,10,4,20,8,13,9,2024-02-07,"CAMPINAS","10","covid","com_atraso"
7,2023-12-20,10,4,22,8,13,15,2024-02-07,"CAMPINAS","10","covid","com_atraso"
8,2023-12-27,11,4,20,8,14,9,2024-02-07,"CAMPINAS","10","covid","com_atraso"
9,2024-01-03,11,4,22,9,14,11,2024-02-07,"CAMPINAS","10","covid","com_atraso"
10,2024-01-10,12,5,23,9,15,16,2024-02-07,"CAMPINAS","10","covid","com_atraso"
11,2024-01-17,12,4,24,9,16,11,2024-02-07,"CAMPINAS","10","covid","com_atraso"
12,2024-01-24,13,3,34.025,8,18,NA,2024-02-07,"CAMPINAS","10","covid","com_atraso"
1,2023-11-18,3,0,9,1,4,4,2024-02-07,"FRANCA","10","covid","com_atraso"
2,2023-11-25,2,0,8,1,3,2,2024-02-07,"FRANCA","10","covid","com_atraso"
3,2023-12-02,2,0,6,1,3,1,2024-02-07,"FRANCA","10","covid","com_atraso"
4,2023-12-09,2,0,6,1,3,2,2024-02-07,"FRANCA","10","covid","com_atraso"
5,2023-12-16,1,0,5,1,3,1,2024-02-07,"FRANCA","10","covid","com_atraso"
6,2023-12-23,1,0,5,1,2.25,1,2024-02-07,"FRANCA","10","covid","com_atraso"
7,2023-12-30,2,0,6,1,3,2,2024-02-07,"FRANCA","10","covid","com_atraso"
8,2024-01-06,2,0,6,1,3,4,2024-02-07,"FRANCA","10","covid","com_atraso"
9,2024-01-13,1,0,6,1,3,1,2024-02-07,"FRANCA","10","covid","com_atraso"
10,2024-01-20,1,0,6,1,3,NA,2024-02-07,"FRANCA","10","covid","com_atraso"
11,2024-01-27,1,0,7,0,3,1,2024-02-07,"FRANCA","10","covid","com_atraso"
12,2024-02-03,1,0,9,0,3,NA,2024-02-07,"FRANCA","10","covid","com_atraso"
1,2023-11-29,47,22.975,80.025,39,56,56,2024-02-07,"GRANDE SÃO PAULO","10","covid","com_atraso"
