"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-05-17,19,8,36.025,14,23,20,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
2,2023-05-24,15,6,28,12,18,16,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
3,2023-05-31,12,5,25,9,16,10,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
4,2023-06-07,12,4,23,8,15,8,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
5,2023-06-14,13,5,26,10.75,17,15,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
6,2023-06-21,15,5,27,11,18,18,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
7,2023-06-28,13,5,24,10,16,15,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
8,2023-07-05,9,3,19,7,12,9,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
9,2023-07-12,6,1,13,4,8,6,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
10,2023-07-19,3,0,9.02499999999998,2,5,4,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
11,2023-07-26,2,0,7,1,3,1,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
12,2023-08-02,1,0,7,0,2,NA,2023-08-02,"ARAÇATUBA","8 ou 10","srag","com_atraso"
1,2023-05-09,21,10.975,36,17,26,19,2023-08-02,"ARARAQUARA","8 ou 10","srag","com_atraso"
2,2023-05-16,19,10,32,16,23,21,2023-08-02,"ARARAQUARA","8 ou 10","srag","com_atraso"
3,2023-05-23,17,9,29,14,20,16,2023-08-02,"ARARAQUARA","8 ou 10","srag","com_atraso"
4,2023-05-30,15,7,26.025,12,18,16,2023-08-02,"ARARAQUARA","8 ou 10","srag","com_atraso"
