"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-04-25,22,8,47,17,28,24,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
2,2023-05-02,19,8,37,15,24,18,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
3,2023-05-09,18,7,38,14,22,19,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
4,2023-05-16,17,7,34,13,22,20,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
5,2023-05-23,15,5,28,11,19,16,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
6,2023-05-30,12,4,26.025,9,16,10,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
7,2023-06-06,12,4,27.025,9,15,8,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
8,2023-06-13,13,4,27,10,16,15,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
9,2023-06-20,13,4,27,9,17,18,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
10,2023-06-27,10,3,22,7,14,15,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
11,2023-07-04,7,1,18,4,10,2,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
12,2023-07-11,5,0,18,2,8,NA,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
13,2023-07-18,4,0,20.025,1,8,NA,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
14,2023-07-25,3,0,26,0.75,7,NA,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
15,2023-08-01,2,0,44.025,0,7,NA,2023-08-02,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
1,2023-04-21,24,11,38,19,28,23,2023-08-02,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
2,2023-04-28,22,12,34,18,26,22,2023-08-02,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
3,2023-05-05,21,11,33,17,25,19,2023-08-02,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
4,2023-05-12,19,10.975,32,16,23,19,2023-08-02,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
