"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-10-24,15,5,28,12,18,15,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
2,2023-10-31,13,6,25,10,17,14,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
3,2023-11-07,12,5,22,9,15,13,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
4,2023-11-14,11,4,19.025,8,13,7,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
5,2023-11-21,10,3,19,8,13,13,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
6,2023-11-28,9,3,18,7,12,8,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
7,2023-12-05,8,3,18,6,11,11,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
8,2023-12-12,7,2,14,5,10,9,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
9,2023-12-19,6,1,13,4,8,4,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
10,2023-12-26,5,1,12,4,7,5,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
11,2024-01-02,5,1,12,3,7,6,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
12,2024-01-09,5,0.975000000000001,13,3,7,NA,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
13,2024-01-16,4,0,19,2,7,NA,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
14,2024-01-23,4,0,24.0749999999999,2,7,NA,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
15,2024-01-30,3,0,32.0999999999999,1,6,NA,2024-02-07,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
1,2023-10-31,8,1,20,5,11,8,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
2,2023-11-07,7,1,19,5,10,8,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
3,2023-11-14,6,1,15,4,9,6,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
4,2023-11-21,6,1,15,4,9,5,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
5,2023-11-28,6,1,15,4,8,7,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
6,2023-12-05,6,1,13,4,8,12,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
7,2023-12-12,5,0.975000000000001,13,3,7,2,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
8,2023-12-19,4,0,11,3,6,2,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
9,2023-12-26,4,0,10,2,5,6,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
10,2024-01-02,3,0,10,2,5,5,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
11,2024-01-09,3,0,9,1,4,1,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
12,2024-01-16,2,0,10,1,4,NA,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
13,2024-01-23,2,0,12.025,1,4,NA,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
14,2024-01-30,2,0,16.025,0,4,NA,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
15,2024-02-06,1,0,30.025,0,3,NA,2024-02-07,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
1,2023-11-01,42,25,64.025,35,48,42,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
2,2023-11-08,40,25,63,34,46,37,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
3,2023-11-15,39,23,60,33,45,41,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
4,2023-11-22,38,21.975,58.025,32,44,35,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
5,2023-11-29,37,22,57,31,43,39,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
6,2023-12-06,34,19,55,29,39,31,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
7,2023-12-13,31,17,49,26,36,36,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
8,2023-12-20,26,14,43,21,31,24,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
9,2023-12-27,21,10,36,17,25,24,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
10,2024-01-03,15,7,27,12,19,21,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
11,2024-01-10,10,2,22.025,7,13,4,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
12,2024-01-17,6,1,18,4,10,NA,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
13,2024-01-24,4,0,20,2,8,NA,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
14,2024-01-31,3,0,20.025,1,6,NA,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
15,2024-02-07,2,0,25,0,5,NA,2024-02-07,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
1,2023-10-25,2,0,8,1,4,3,2024-02-07,"BARRETOS","8 ou 10","srag","corte 3 semanas"
2,2023-11-01,2,0,7,1,3,2,2024-02-07,"BARRETOS","8 ou 10","srag","corte 3 semanas"
3,2023-11-08,2,0,6,1,3,1,2024-02-07,"BARRETOS","8 ou 10","srag","corte 3 semanas"
