"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2022-12-06,42,26,62,36,48,39,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
2,2022-12-13,35,22,52,30,41,40,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
3,2022-12-20,29,17,46,25,35,32,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
4,2022-12-27,24,13,37,20,28,27,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
5,2023-01-03,20,11,32.025,16,24,17,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
6,2023-01-10,17,8,28,14,20,20,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
7,2023-01-17,15,7,26,12,19,8,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
8,2023-01-24,15,7,26,12,18,13,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
9,2023-01-31,16,8,27,13,20,18,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
10,2023-02-07,18,9,28,14,21,18,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
11,2023-02-14,21,11,33,17,24.25,17,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
12,2023-02-21,23,13,37,19,28,32,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
13,2023-02-28,26,14,39,22,30,24,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
14,2023-03-07,27,16,42,23,31,28,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
15,2023-03-14,29,17,44,24,34,27,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
16,2023-03-21,30,17,46,25,34,30,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
17,2023-03-28,30,17,44.025,25.75,34.25,36,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
18,2023-04-04,28.5,17,43.025,24,33,32,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
19,2023-04-11,26,14,41,22,30,19,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
20,2023-04-18,24,13,37,21,28.25,26,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
21,2023-04-25,22,12,35,18,26,24,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
22,2023-05-02,20,10,32,17,24,18,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
23,2023-05-09,18,10,30,15,22,19,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
24,2023-05-16,17,9,28,14,20,20,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
25,2023-05-23,16,7,25,12,19,16,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
26,2023-05-30,14,6,24,11,17,10,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
27,2023-06-06,13,6,23,11,16,8,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
28,2023-06-13,12,5,22,10,15,15,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
29,2023-06-20,12,5,21,9,15,18,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
30,2023-06-27,10,4,20,8,13,15,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
31,2023-07-04,8,2.975,18,6,11,2,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
32,2023-07-11,7,1,16.025,5,10,NA,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
33,2023-07-18,6,1,17,3,9,NA,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
34,2023-07-25,5,0,18.025,3,8,NA,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
35,2023-08-01,4,0,21,2,7,NA,2023-08-02,"ARAÇATUBA","30","srag","corte 3 semanas"
1,2022-12-02,45,27,69.025,39,52,39,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
2,2022-12-09,45,28,66,39,52,50,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
3,2022-12-16,40,24,59,35,46,47,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
4,2022-12-23,32,19,51,28,38,28,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
5,2022-12-30,25,14,38,21,29,32,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
6,2023-01-06,18,9,29,15,22,17,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
7,2023-01-13,13,6,23,10,16,13,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
8,2023-01-20,11,4,20,8,14,6,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
9,2023-01-27,10,4,19,8,13,7,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
10,2023-02-03,11,5,21,9,14,12,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
11,2023-02-10,13,6,23,10,16,16,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
12,2023-02-17,16,8,27,13,19,17,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
13,2023-02-24,19,10,31,16,23,16,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
14,2023-03-03,24,13,37,20,28,19,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
15,2023-03-10,29.5,17,45,25,34,38,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
16,2023-03-17,32,18,48,27,37,36,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
17,2023-03-24,31,19,46,26,36,33,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
18,2023-03-31,27,16,42,23,32,22,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
19,2023-04-07,25,14,39,21,29,27,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
20,2023-04-14,23,12,38,19,27,19,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
21,2023-04-21,21,11,35,18,25,23,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
22,2023-04-28,21,11,33,17.75,25,22,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
23,2023-05-05,20,11,33,16,24,19,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
24,2023-05-12,19,9,31,16,23,19,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
25,2023-05-19,18,9,31,15,22,21,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
26,2023-05-26,17,8,28,13,20,16,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
27,2023-06-02,15,7,25,12,18,16,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
28,2023-06-09,13,5,22,10,16,15,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
29,2023-06-16,11,4,20,9,14,9,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
30,2023-06-23,10,3,18.025,7,12,11,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
31,2023-06-30,8,2.975,16,6,11,8,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
32,2023-07-07,7,1,17,4,10,NA,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
33,2023-07-14,6,1,21,3,10,NA,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
34,2023-07-21,5,0,25.025,3,10,NA,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
35,2023-07-28,5,0,42.05,2,10,NA,2023-08-02,"ARARAQUARA","30","srag","corte 3 semanas"
