"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-05-27,14,5,28,10,17,16,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
2,2023-06-03,12,5,23.025,9,16,10,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
3,2023-06-10,12,4,23,9,16,8,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
4,2023-06-17,13,5,24,10,16,15,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
5,2023-06-24,13,6,26,10,17,20,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
6,2023-07-01,12,5,25,9,16,15,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
7,2023-07-08,11,4,21,8,14,9,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
8,2023-07-15,10,3,20,7,13,8,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
9,2023-07-22,10,4,19.025,8,13,8,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
10,2023-07-29,10,3,19.025,7,12.25,11,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
11,2023-08-05,10,3.975,22,7,14,12,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
12,2023-08-12,10,2,32,7,15,NA,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
13,2023-08-19,11,2,70,7,17,NA,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
14,2023-08-26,10,1,217.025,6,19,NA,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
15,2023-09-02,10,0,608.225,5,21,NA,2023-09-06,"ARAÇATUBA","8 ou 10","srag","corte 3 semanas"
1,2023-05-26,17,7,31,13,21,16,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
2,2023-06-02,16,7,27,12,19,16,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
3,2023-06-09,14,6.975,25,12,18,16,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
4,2023-06-16,13,5,24,10,17,10,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
5,2023-06-23,12,5,22,10,15,14,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
6,2023-06-30,11,3.975,22,8,14,15,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
7,2023-07-07,9,3,18,7,12,9,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
8,2023-07-14,7,2,15,5,10,8,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
9,2023-07-21,6,2,12,4,8,5,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
10,2023-07-28,5,1,11,3,6,4,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
11,2023-08-04,3,0,9,2,5,3,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
12,2023-08-11,3,0,9,1,4,NA,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
13,2023-08-18,2,0,11,1,4,NA,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
14,2023-08-25,2,0,11,0,3,NA,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
15,2023-09-01,1,0,13,0,3,NA,2023-09-06,"ARARAQUARA","8 ou 10","srag","corte 3 semanas"
1,2023-05-26,53,30,89,44.75,62,47,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
2,2023-06-02,58,35.975,89,50,67,59,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
3,2023-06-09,61,38,89,52,70,66,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
4,2023-06-16,58.5,33,87.025,51,67,64,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
5,2023-06-23,53,31,81.025,46,62,57,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
6,2023-06-30,47,27,71,40,54,41,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
7,2023-07-07,41,24,62,35,47,51,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
8,2023-07-14,34,19,55,29,39,25,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
9,2023-07-21,32,18,52,27,38,27,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
10,2023-07-28,34,18,51.025,28,39,37,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
11,2023-08-04,35.5,18,57,29,42,38,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
12,2023-08-11,37,16.975,82,28,48,NA,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
13,2023-08-18,37.5,12,148.2,26,56,NA,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
14,2023-08-25,38,9,324.025,24,66,NA,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
15,2023-09-01,39,5,836.525,21,80,NA,2023-09-06,"BAIXADA SANTISTA","8 ou 10","srag","corte 3 semanas"
1,2023-05-23,6,1,13,4,8,6,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
2,2023-05-30,5,1,12,3,7,6,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
3,2023-06-06,4,1,9,3,6,2,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
4,2023-06-13,4,0,9,2,5,5,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
5,2023-06-20,3,0,8,2,5,4,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
6,2023-06-27,3,0,7.02499999999998,2,4,2,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
7,2023-07-04,3,0,7,1,4,2,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
8,2023-07-11,3,0,7,1,4,3,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
9,2023-07-18,2,0,7,1,4,2,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
10,2023-07-25,2,0,7,1,4,3,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
11,2023-08-01,2,0,8,1,4,3,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
12,2023-08-08,2,0,11,1,4,NA,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
13,2023-08-15,2,0,16.025,1,4,NA,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
14,2023-08-22,2,0,36.05,1,5,NA,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
15,2023-08-29,2,0,60.025,1,5,NA,2023-09-06,"BARRETOS","8 ou 10","srag","corte 3 semanas"
1,2023-06-01,64,20.975,148.075,48,80,66,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
2,2023-06-08,57,20.975,112.025,44,72,57,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
3,2023-06-15,54,17.975,109.025,41,67,58,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
4,2023-06-22,49,17,101,37,61,54,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
5,2023-06-29,43,15,100,33,56,38,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
6,2023-07-06,44,16,89,33,56,52,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
7,2023-07-13,37,13,87,29,48,31,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
8,2023-07-20,40,15.975,89.05,31,51,37,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
9,2023-07-27,44,11,89.05,31.75,56,57,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
10,2023-08-03,33,10,69.025,24,43,46,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
11,2023-08-10,16,3,59,11,25,7,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
12,2023-08-17,10,0,52,4,20,NA,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
13,2023-08-24,7,0,58.025,1,18,NA,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
14,2023-08-31,4,0,76.0999999999999,0,16,NA,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
15,2023-09-07,4,0,130,0,14,NA,2023-09-06,"BAURU","8 ou 10","srag","corte 3 semanas"
1,2023-05-31,159.5,59,380.05,121,207.25,158,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
2,2023-06-07,152,57.975,324,116,196,141,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
3,2023-06-14,155,59,307.05,118,195,193,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
4,2023-06-21,150.5,63,328.05,115.75,190,158,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
5,2023-06-28,131,53.95,268.05,102,169,144,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
6,2023-07-05,113,43.975,242.1,88,144,107,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
7,2023-07-12,104,40,209.05,80.75,133,96,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
8,2023-07-19,98,39,214.05,75.75,126,95,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
9,2023-07-26,88,33,180.025,66,115,97,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
10,2023-08-02,78,29.975,168.025,59,100,128,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
11,2023-08-09,51,17,139.1,35,74,24,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
12,2023-08-16,38,4,142.175,21,64,NA,2023-09-06,"CAMPINAS","8 ou 10","srag","corte 3 semanas"
