"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-11-29,710,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-12-06,717,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-12-13,549,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-12-20,502,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-12-27,578,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2024-01-03,463,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2024-01-10,479,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2024-01-17,569,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2024-01-24,732,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2024-01-31,948,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2024-02-07,1152,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2024-02-14,1359,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2024-02-21,1305,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2024-02-28,1132,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-03-06,1191,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-03-13,1100,2,1104,1100,1111,1103,1106,"Estimado","ESTADO","srag"
"17",2024-03-20,1141,3,1149,1142,1158,1146,1151,"Estimado","ESTADO","srag"
"18",2024-03-27,1413,4,1427,1419,1440,1424,1431,"Estimado","ESTADO","srag"
"19",2024-04-03,1458,5,1482,1470,1496,1478,1487,"Estimado","ESTADO","srag"
"20",2024-04-10,1493,6,1531,1517,1549,1526,1537,"Estimado","ESTADO","srag"
"21",2024-04-17,1334,7,1398,1378,1421.025,1391,1405,"Estimado","ESTADO","srag"
"22",2024-04-24,1224,8,1320,1294,1351.025,1311,1331,"Estimado","ESTADO","srag"
"23",2024-05-01,1054,9,1236,1194,1291.05,1221,1254,"Estimado","ESTADO","srag"
"24",2024-05-08,920,10,1283,1197,1377.025,1256,1317,"Estimado","ESTADO","srag"
"25",2024-05-15,480,11,1307.5,1104,1597.05,1228,1395.25,"Estimado","ESTADO","srag"
"26",2024-05-15,480,11,1307.5,1104,1597.05,1228,1395.25,"Previsto","ESTADO","srag"
"27",2024-05-22,NA,12,1322,972.95,1855.4,1199,1474.25,"Previsto","ESTADO","srag"
"28",2023-11-29,8,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-12-06,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-12-13,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-12-20,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-12-27,5,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2024-01-03,6,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2024-01-10,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2024-01-17,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2024-01-24,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2024-01-31,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2024-02-07,22,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2024-02-14,16,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2024-02-21,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2024-02-28,10,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-03-06,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-03-13,17,2,17,17,17,17,17,"Estimado","ARAÇATUBA","srag"
"44",2024-03-20,14,3,14,14,15,14,14,"Estimado","ARAÇATUBA","srag"
"45",2024-03-27,23,4,23,23,24,23,23,"Estimado","ARAÇATUBA","srag"
"46",2024-04-03,23,5,23,23,25,23,23,"Estimado","ARAÇATUBA","srag"
"47",2024-04-10,18,6,18,18,20,18,18,"Estimado","ARAÇATUBA","srag"
"48",2024-04-17,46,7,46,46,48.025,46,46,"Estimado","ARAÇATUBA","srag"
"49",2024-04-24,29,8,29,29,32.025,29,30,"Estimado","ARAÇATUBA","srag"
"50",2024-05-01,34,9,35,34,40,34,36,"Estimado","ARAÇATUBA","srag"
"51",2024-05-08,27,10,29,26,37,28,31.25,"Estimado","ARAÇATUBA","srag"
"52",2024-05-15,11,11,30,13,64,23,39,"Estimado","ARAÇATUBA","srag"
"53",2024-05-15,11,11,30,13,64,23,39,"Previsto","ARAÇATUBA","srag"
"54",2024-05-22,NA,12,32,7.975,87.025,23,45,"Previsto","ARAÇATUBA","srag"
"55",2023-12-06,12,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"56",2023-12-13,3,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"57",2023-12-20,2,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"58",2023-12-27,6,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"59",2024-01-03,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"60",2024-01-10,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"61",2024-01-17,9,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"62",2024-01-24,10,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"63",2024-01-31,14,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"64",2024-02-07,23,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"65",2024-02-14,41,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"66",2024-02-21,29,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"67",2024-02-28,30,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"68",2024-03-06,20,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"69",2024-03-13,19,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
