"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-09-27,1253,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-10-04,1297,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-10-11,1456,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-10-18,1432,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-10-25,1209,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2023-11-01,1119,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2023-11-08,1003,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2023-11-15,835,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2023-11-22,724,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2023-11-29,712,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2023-12-06,711,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2023-12-13,545,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2023-12-20,492,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2023-12-27,568,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-01-03,454,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-01-10,467,2,467,466,472,466,468,"Estimado","ESTADO","srag"
"17",2024-01-17,555,3,559,555,567,557,561,"Estimado","ESTADO","srag"
"18",2024-01-24,703,4,709,703,720,707,712,"Estimado","ESTADO","srag"
"19",2024-01-31,906,5,921,911,936,917,926,"Estimado","ESTADO","srag"
"20",2024-02-07,1108,6,1137,1123,1156,1131,1143,"Estimado","ESTADO","srag"
"21",2024-02-14,1303,7,1359,1339,1384,1353,1367,"Estimado","ESTADO","srag"
"22",2024-02-21,1218,8,1302,1277,1335.025,1293,1313,"Estimado","ESTADO","srag"
"23",2024-02-28,1003,9,1165,1126,1210,1151,1180,"Estimado","ESTADO","srag"
"24",2024-03-06,883,10,1169,1099.9,1255,1145,1197,"Estimado","ESTADO","srag"
"25",2024-03-13,505,11,1143,963.925,1376.1,1077,1215,"Estimado","ESTADO","srag"
"26",2024-03-13,505,11,1143,963.925,1376.1,1077,1215,"Previsto","ESTADO","srag"
"27",2024-03-20,NA,12,1132,797.925,1645.025,1005.5,1287.25,"Previsto","ESTADO","srag"
"28",2023-09-27,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-10-04,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-10-11,21,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-10-18,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-10-25,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2023-11-01,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2023-11-08,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2023-11-15,7,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2023-11-22,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2023-11-29,8,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2023-12-06,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2023-12-13,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2023-12-20,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2023-12-27,5,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-01-03,6,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-01-10,4,2,4,4,5,4,4,"Estimado","ARAÇATUBA","srag"
"44",2024-01-17,9,3,9,9,10,9,9,"Estimado","ARAÇATUBA","srag"
"45",2024-01-24,11,4,11,11,13,11,11,"Estimado","ARAÇATUBA","srag"
"46",2024-01-31,18,5,18,18,21,18,18,"Estimado","ARAÇATUBA","srag"
"47",2024-02-07,21,6,21,21,24,21,21,"Estimado","ARAÇATUBA","srag"
"48",2024-02-14,16,7,16,16,20,16,17,"Estimado","ARAÇATUBA","srag"
"49",2024-02-21,14,8,14,14,18,14,15,"Estimado","ARAÇATUBA","srag"
"50",2024-02-28,9,9,9,8,13,8,10,"Estimado","ARAÇATUBA","srag"
