"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-09-20,1085,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-09-27,1253,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-10-04,1297,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-10-11,1456,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-10-18,1433,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2023-10-25,1209,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2023-11-01,1120,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2023-11-08,1003,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2023-11-15,834,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2023-11-22,723,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2023-11-29,713,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2023-12-06,714,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2023-12-13,545,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2023-12-20,492,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2023-12-27,569,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-01-03,454,2,457,454,463,456,459,"Estimado","ESTADO","srag"
"17",2024-01-10,465,3,470,465,478,468,472,"Estimado","ESTADO","srag"
"18",2024-01-17,555,4,562,557,572,560,565,"Estimado","ESTADO","srag"
"19",2024-01-24,698,5,715,706,728,711,719,"Estimado","ESTADO","srag"
"20",2024-01-31,901,6,930,916,948,925,936,"Estimado","ESTADO","srag"
"21",2024-02-07,1092,7,1151,1130,1177,1143,1159,"Estimado","ESTADO","srag"
"22",2024-02-14,1282,8,1386,1354,1422,1375,1398,"Estimado","ESTADO","srag"
"23",2024-02-21,1151,9,1347,1296.975,1398,1329,1361,"Estimado","ESTADO","srag"
"24",2024-02-28,880,10,1217,1135.975,1310.025,1190,1247,"Estimado","ESTADO","srag"
"25",2024-03-06,496,11,1074,890.95,1338,1007.75,1159,"Estimado","ESTADO","srag"
"26",2024-03-06,496,11,1074,890.95,1338,1007.75,1159,"Previsto","ESTADO","srag"
"27",2024-03-13,NA,12,1014,647.975,1492,873,1160,"Previsto","ESTADO","srag"
"28",2023-09-20,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-09-27,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-10-04,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-10-11,21,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-10-18,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2023-10-25,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2023-11-01,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2023-11-08,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2023-11-15,7,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2023-11-22,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2023-11-29,8,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2023-12-06,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2023-12-13,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2023-12-20,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2023-12-27,5,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-01-03,6,2,6,6,7,6,6,"Estimado","ARAÇATUBA","srag"
"44",2024-01-10,4,3,4,4,6,4,4,"Estimado","ARAÇATUBA","srag"
"45",2024-01-17,9,4,9,9,11,9,9,"Estimado","ARAÇATUBA","srag"
"46",2024-01-24,11,5,11,11,14,11,11,"Estimado","ARAÇATUBA","srag"
"47",2024-01-31,18,6,18,18,22,18,19,"Estimado","ARAÇATUBA","srag"
"48",2024-02-07,21,7,21,21,26,21,22,"Estimado","ARAÇATUBA","srag"
