"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2024-01-23,789,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2024-01-30,1037,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2024-02-06,1230,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2024-02-13,1455,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2024-02-20,1403,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2024-02-27,1235,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2024-03-05,1285,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2024-03-12,1182,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2024-03-19,1248,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2024-03-26,1548,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2024-04-02,1588,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2024-04-09,1632,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2024-04-16,1497,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2024-04-23,1427,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-04-30,1253,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-05-07,1228,2,1237,1230.975,1247,1235,1240,"Estimado","ESTADO","srag"
"17",2024-05-14,1136,3,1151,1142,1165,1148,1155,"Estimado","ESTADO","srag"
"18",2024-05-21,1139,4,1165,1154,1180,1161,1170,"Estimado","ESTADO","srag"
"19",2024-05-28,1266,5,1308,1292,1326,1302,1313,"Estimado","ESTADO","srag"
"20",2024-06-04,1316,6,1388,1366,1410,1380,1395,"Estimado","ESTADO","srag"
"21",2024-06-11,1263,7,1361,1333.975,1390.025,1350,1369,"Estimado","ESTADO","srag"
"22",2024-06-18,1055,8,1194,1165,1231,1183,1206,"Estimado","ESTADO","srag"
"23",2024-06-25,1003,9,1203,1163.975,1246.025,1189.75,1217,"Estimado","ESTADO","srag"
"24",2024-07-02,679,10,1033.5,973.975,1114,1010,1058,"Estimado","ESTADO","srag"
"25",2024-07-09,200,11,947,775.95,1124.125,883.75,1006,"Estimado","ESTADO","srag"
"26",2024-07-09,200,11,947,775.95,1124.125,883.75,1006,"Previsto","ESTADO","srag"
"27",2024-07-16,NA,12,884,611.95,1213.1,783.75,994.25,"Previsto","ESTADO","srag"
"28",2024-01-23,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2024-01-30,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2024-02-06,23,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2024-02-13,20,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2024-02-20,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2024-02-27,12,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2024-03-05,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2024-03-12,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2024-03-19,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2024-03-26,23,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2024-04-02,25,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2024-04-09,19,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2024-04-16,48,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2024-04-23,29,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-04-30,34,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-05-07,29,2,29,29,30,29,29,"Estimado","ARAÇATUBA","srag"
"44",2024-05-14,22,3,22,22,23,22,22,"Estimado","ARAÇATUBA","srag"
"45",2024-05-21,13,4,13,13,14,13,13,"Estimado","ARAÇATUBA","srag"
"46",2024-05-28,16,5,16,16,17,16,16,"Estimado","ARAÇATUBA","srag"
"47",2024-06-04,17,6,17,17,18,17,17,"Estimado","ARAÇATUBA","srag"
"48",2024-06-11,14,7,14,14,15,14,14,"Estimado","ARAÇATUBA","srag"
"49",2024-06-18,16,8,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"50",2024-06-25,13,9,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"51",2024-07-02,11,10,11,10,15,11,12,"Estimado","ARAÇATUBA","srag"
"52",2024-07-09,5,11,14,8,25,11,17,"Estimado","ARAÇATUBA","srag"
"53",2024-07-09,5,11,14,8,25,11,17,"Previsto","ARAÇATUBA","srag"
"54",2024-07-16,NA,12,12,3,36,8,17,"Previsto","ARAÇATUBA","srag"
"55",2024-01-27,10,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"56",2024-02-03,15,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"57",2024-02-10,24,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"58",2024-02-17,43,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"59",2024-02-24,30,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"60",2024-03-02,31,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"61",2024-03-09,21,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"62",2024-03-16,21,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"63",2024-03-23,14,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"64",2024-03-30,18,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"65",2024-04-06,27,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"66",2024-04-13,20,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"67",2024-04-20,15,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"68",2024-04-27,19,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"69",2024-05-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"70",2024-05-11,11,2,11,11,12,11,11,"Estimado","ARARAQUARA","srag"
"71",2024-05-18,15,3,15,15,16,15,15,"Estimado","ARARAQUARA","srag"
"72",2024-05-25,10,4,10,10,11,10,10,"Estimado","ARARAQUARA","srag"
"73",2024-06-01,13,5,13,13,15,13,13,"Estimado","ARARAQUARA","srag"
"74",2024-06-08,16,6,16,16,17,16,16,"Estimado","ARARAQUARA","srag"
"75",2024-06-15,18,7,18,18,20,18,18,"Estimado","ARARAQUARA","srag"
"76",2024-06-22,19,8,19,19,21,19,20,"Estimado","ARARAQUARA","srag"
"77",2024-06-29,8,9,9,8,12,8,9,"Estimado","ARARAQUARA","srag"
"78",2024-07-06,9,10,11,9,16,10,12,"Estimado","ARARAQUARA","srag"
"79",2024-07-13,5,11,15,8,28,12,19,"Estimado","ARARAQUARA","srag"
"80",2024-07-13,5,11,15,8,28,12,19,"Previsto","ARARAQUARA","srag"
"81",2024-07-20,NA,12,13,3,40.025,9,19,"Previsto","ARARAQUARA","srag"
"82",2024-01-27,34,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"83",2024-02-03,52,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"84",2024-02-10,33,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"85",2024-02-17,57,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"86",2024-02-24,59,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"87",2024-03-02,33,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"88",2024-03-09,64,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"89",2024-03-16,37,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"90",2024-03-23,37,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"91",2024-03-30,46,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"92",2024-04-06,51,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"93",2024-04-13,56,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"94",2024-04-20,44,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"95",2024-04-27,41,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"96",2024-05-04,36,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"97",2024-05-11,30,2,30,30,31,30,30,"Estimado","BAIXADA SANTISTA","srag"
"98",2024-05-18,33,3,33,33,35,33,33,"Estimado","BAIXADA SANTISTA","srag"
"99",2024-05-25,24,4,24,24,26,24,24,"Estimado","BAIXADA SANTISTA","srag"
"100",2024-06-01,37,5,37,37,40,37,38,"Estimado","BAIXADA SANTISTA","srag"
"101",2024-06-08,46,6,46,46,49.025,46,47,"Estimado","BAIXADA SANTISTA","srag"
"102",2024-06-15,35,7,36,35,41,36,38,"Estimado","BAIXADA SANTISTA","srag"
"103",2024-06-22,24,8,27,24,32,25,28,"Estimado","BAIXADA SANTISTA","srag"
"104",2024-06-29,19,9,25,20,32,23,27,"Estimado","BAIXADA SANTISTA","srag"
"105",2024-07-06,6,10,21,12,38,17,26,"Estimado","BAIXADA SANTISTA","srag"
"106",2024-07-13,3,11,23,8,48.025,17,31,"Estimado","BAIXADA SANTISTA","srag"
"107",2024-07-13,3,11,23,8,48.025,17,31,"Previsto","BAIXADA SANTISTA","srag"
"108",2024-07-20,NA,12,20,3,69,13,31,"Previsto","BAIXADA SANTISTA","srag"
"109",2024-01-23,7,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"110",2024-01-30,14,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"111",2024-02-06,9,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"112",2024-02-13,23,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"113",2024-02-20,10,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"114",2024-02-27,8,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"115",2024-03-05,10,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"116",2024-03-12,9,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"117",2024-03-19,10,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"118",2024-03-26,5,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
