"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2024-01-02,477,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2024-01-09,496,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2024-01-16,575,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2024-01-23,752,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2024-01-30,978,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2024-02-06,1178,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2024-02-13,1386,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2024-02-20,1330,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2024-02-27,1174,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2024-03-05,1235,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2024-03-12,1132,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2024-03-19,1188,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2024-03-26,1479,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2024-04-02,1529,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-04-09,1576,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-04-16,1431,2,1438,1433,1448,1436,1441,"Estimado","ESTADO","srag"
"17",2024-04-23,1365,3,1385,1375,1401,1381,1389,"Estimado","ESTADO","srag"
"18",2024-04-30,1201,4,1240,1225,1259,1234,1246,"Estimado","ESTADO","srag"
"19",2024-05-07,1160,5,1220,1202,1246,1213,1229,"Estimado","ESTADO","srag"
"20",2024-05-14,1060,6,1141.5,1118,1170,1132,1150,"Estimado","ESTADO","srag"
"21",2024-05-21,1029,7,1137,1108.975,1169,1127,1146,"Estimado","ESTADO","srag"
"22",2024-05-28,1128,8,1281,1244.975,1321,1270,1295,"Estimado","ESTADO","srag"
"23",2024-06-04,1103,9,1342,1296,1394.025,1326,1360,"Estimado","ESTADO","srag"
"24",2024-06-11,862,10,1342.5,1244.975,1451.025,1306,1376,"Estimado","ESTADO","srag"
"25",2024-06-18,268,11,1375,1136.975,1665.025,1290.75,1467,"Estimado","ESTADO","srag"
"26",2024-06-18,268,11,1375,1136.975,1665.025,1290.75,1467,"Previsto","ESTADO","srag"
"27",2024-06-25,NA,12,1456.5,1093.95,1941.2,1319.75,1590.25,"Previsto","ESTADO","srag"
"28",2024-01-07,6,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2024-01-14,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2024-01-21,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2024-01-28,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2024-02-04,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2024-02-11,22,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2024-02-18,16,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2024-02-25,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2024-03-03,10,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2024-03-10,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2024-03-17,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2024-03-24,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2024-03-31,23,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2024-04-07,23,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-04-14,19,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-04-21,46,2,46,46,47,46,46,"Estimado","ARAÇATUBA","srag"
"44",2024-04-28,29,3,29,29,31,29,29,"Estimado","ARAÇATUBA","srag"
"45",2024-05-05,34,4,34,34,36,34,34,"Estimado","ARAÇATUBA","srag"
"46",2024-05-12,28,5,28,28,30,28,28,"Estimado","ARAÇATUBA","srag"
"47",2024-05-19,22,6,22,22,24,22,22,"Estimado","ARAÇATUBA","srag"
"48",2024-05-26,13,7,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"49",2024-06-02,15,8,15,15,17,15,16,"Estimado","ARAÇATUBA","srag"
"50",2024-06-09,17,9,17,17,20,17,18,"Estimado","ARAÇATUBA","srag"
"51",2024-06-16,13,10,15,13,20,14,16,"Estimado","ARAÇATUBA","srag"
"52",2024-06-23,4,11,15,7,32.025,12,20,"Estimado","ARAÇATUBA","srag"
"53",2024-06-23,4,11,15,7,32.025,12,20,"Previsto","ARAÇATUBA","srag"
"54",2024-06-30,NA,12,14,3,45,9,20,"Previsto","ARAÇATUBA","srag"
"55",2024-01-06,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"56",2024-01-13,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"57",2024-01-20,9,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"58",2024-01-27,10,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"59",2024-02-03,14,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"60",2024-02-10,23,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"61",2024-02-17,41,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"62",2024-02-24,29,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"63",2024-03-02,30,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"64",2024-03-09,20,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"65",2024-03-16,19,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"66",2024-03-23,13,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"67",2024-03-30,18,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"68",2024-04-06,26,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"69",2024-04-13,19,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"70",2024-04-20,15,2,15,15,16,15,15,"Estimado","ARARAQUARA","srag"
"71",2024-04-27,18,3,18,18,19,18,18,"Estimado","ARARAQUARA","srag"
"72",2024-05-04,9,4,9,9,10,9,9,"Estimado","ARARAQUARA","srag"
"73",2024-05-11,11,5,11,11,12,11,11,"Estimado","ARARAQUARA","srag"
"74",2024-05-18,15,6,15,15,16,15,15,"Estimado","ARARAQUARA","srag"
"75",2024-05-25,10,7,10,10,12,10,10,"Estimado","ARARAQUARA","srag"
"76",2024-06-01,13,8,13,13,15,13,13,"Estimado","ARARAQUARA","srag"
"77",2024-06-08,16,9,17,16,20,16,18,"Estimado","ARARAQUARA","srag"
"78",2024-06-15,15,10,17,15,22,16,19,"Estimado","ARARAQUARA","srag"
"79",2024-06-22,3,11,14,7,28,11,18,"Estimado","ARARAQUARA","srag"
"80",2024-06-22,3,11,14,7,28,11,18,"Previsto","ARARAQUARA","srag"
"81",2024-06-29,NA,12,16,5,41.025,12,22,"Previsto","ARARAQUARA","srag"
"82",2024-01-06,22,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"83",2024-01-13,22,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"84",2024-01-20,20,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"85",2024-01-27,33,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"86",2024-02-03,49,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"87",2024-02-10,33,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"88",2024-02-17,57,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"89",2024-02-24,59,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"90",2024-03-02,32,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"91",2024-03-09,63,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"92",2024-03-16,36,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"93",2024-03-23,36,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"94",2024-03-30,45,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"95",2024-04-06,50,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"96",2024-04-13,55,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"97",2024-04-20,44,2,44,44,45,44,44,"Estimado","BAIXADA SANTISTA","srag"
"98",2024-04-27,37,3,37,37,38,37,37,"Estimado","BAIXADA SANTISTA","srag"
"99",2024-05-04,36,4,36,36,37,36,36,"Estimado","BAIXADA SANTISTA","srag"
"100",2024-05-11,29,5,29,29,30,29,29,"Estimado","BAIXADA SANTISTA","srag"
