"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-08-02,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-08-09,11,2,979,976,986,978,981,"Estimado","ESTADO","srag"
"3",2023-08-16,11,3,996,991,1003,994,999,"Estimado","ESTADO","srag"
"4",2023-08-23,11,4,906,899,915,903,909,"Estimado","ESTADO","srag"
"5",2023-08-30,11,5,910,902,921,907,913,"Estimado","ESTADO","srag"
"6",2023-09-06,11,6,979,969,991,975,983,"Estimado","ESTADO","srag"
"7",2023-09-13,11,7,1044,1030,1059.025,1039,1049,"Estimado","ESTADO","srag"
"8",2023-09-20,11,8,1113,1095,1132,1106,1120,"Estimado","ESTADO","srag"
"9",2023-09-27,11,9,1044,1014,1083.025,1033,1055,"Estimado","ESTADO","srag"
"10",2023-10-04,11,10,1076,1010.975,1156,1053,1101.25,"Estimado","ESTADO","srag"
"11",2023-10-11,11,11,1063,872.975,1310,994,1138,"Estimado","ESTADO","srag"
"12",2023-10-11,11,11,1063,872.975,1310,994,1138,"Previsto","ESTADO","srag"
"13",2023-10-18,11,12,1074,767.95,1504.05,961,1208,"Previsto","ESTADO","srag"
"14",2023-08-02,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-08-09,11,2,14,14,15,14,14,"Estimado","ARAÇATUBA","srag"
"16",2023-08-16,11,3,15,15,17,15,15,"Estimado","ARAÇATUBA","srag"
"17",2023-08-23,11,4,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"18",2023-08-30,11,5,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"19",2023-09-06,11,6,21,21,23,21,21,"Estimado","ARAÇATUBA","srag"
"20",2023-09-13,11,7,9,9,11,9,9,"Estimado","ARAÇATUBA","srag"
"21",2023-09-20,11,8,22,22,24,22,22,"Estimado","ARAÇATUBA","srag"
"22",2023-09-27,11,9,8,8,11,8,8,"Estimado","ARAÇATUBA","srag"
"23",2023-10-04,11,10,17,17,21,17,18,"Estimado","ARAÇATUBA","srag"
"24",2023-10-11,11,11,9,5,18,7,11,"Estimado","ARAÇATUBA","srag"
"25",2023-10-11,11,11,9,5,18,7,11,"Previsto","ARAÇATUBA","srag"
"26",2023-10-18,11,12,12,2.975,40,8,19,"Previsto","ARAÇATUBA","srag"
"27",2023-08-02,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-08-09,11,2,8,8,11,8,9,"Estimado","ARARAQUARA","srag"
"29",2023-08-16,11,3,16,15,20,15,17,"Estimado","ARARAQUARA","srag"
"30",2023-08-23,11,4,11,9,17,10,12,"Estimado","ARARAQUARA","srag"
"31",2023-08-30,11,5,10,7,17,8,12,"Estimado","ARARAQUARA","srag"
"32",2023-09-06,11,6,14,10,23,12,16,"Estimado","ARARAQUARA","srag"
"33",2023-09-13,11,7,17,13,27,15,20,"Estimado","ARARAQUARA","srag"
"34",2023-09-20,11,8,17,11,29,14,19,"Estimado","ARARAQUARA","srag"
"35",2023-09-27,11,9,20,14,32,17,23,"Estimado","ARARAQUARA","srag"
"36",2023-10-04,11,10,14,7,30,11,18,"Estimado","ARARAQUARA","srag"
"37",2023-10-11,11,11,18,9,39,14,23,"Estimado","ARARAQUARA","srag"
"38",2023-10-11,11,11,18,9,39,14,23,"Previsto","ARARAQUARA","srag"
"39",2023-10-18,11,12,18,5,65,12,28,"Previsto","ARARAQUARA","srag"
"40",2023-08-02,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-08-09,11,2,37,37,39,37,37,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-08-16,11,3,42,42,44,42,42,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-08-23,11,4,38,38,40,38,38,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-08-30,11,5,30,30,33,30,30,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-09-06,11,6,45,45,48,45,46,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-09-13,11,7,32,31,35,31,33,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-09-20,11,8,36,35,40,35,37,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-09-27,11,9,48,45,53.025,47,50,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-10-04,11,10,56,49,67,53,60,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-10-11,11,11,52,32,81.025,44,61,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-10-11,11,11,52,32,81.025,44,61,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-10-18,11,12,57,28,111.05,46,72,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-08-01,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-08-08,11,2,5,5,6,5,5,"Estimado","BARRETOS","srag"
"55",2023-08-15,11,3,9,9,10.025,9,9,"Estimado","BARRETOS","srag"
"56",2023-08-22,11,4,4,4,6,4,4,"Estimado","BARRETOS","srag"
"57",2023-08-29,11,5,7,7,9,7,7,"Estimado","BARRETOS","srag"
