"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-05-23,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-05-30,11,2,1391,1388,1398,1390,1393,"Estimado","ESTADO","srag"
"3",2023-06-06,11,3,1303,1298,1310,1301,1305,"Estimado","ESTADO","srag"
"4",2023-06-13,11,4,1167,1161,1176,1165,1170,"Estimado","ESTADO","srag"
"5",2023-06-20,11,5,1261,1253,1271,1258,1264,"Estimado","ESTADO","srag"
"6",2023-06-27,11,6,1173,1163,1186,1169,1177,"Estimado","ESTADO","srag"
"7",2023-07-04,11,7,1153,1139.975,1171.025,1148,1159,"Estimado","ESTADO","srag"
"8",2023-07-11,11,8,859,839,881,852,866,"Estimado","ESTADO","srag"
"9",2023-07-18,11,9,805,770.975,847,792.75,817,"Estimado","ESTADO","srag"
"10",2023-07-25,11,10,828,754,915,801,856,"Estimado","ESTADO","srag"
"11",2023-08-01,11,11,752.5,571.975,1017.05,684,822,"Estimado","ESTADO","srag"
"12",2023-08-01,11,11,752.5,571.975,1017.05,684,822,"Previsto","ESTADO","srag"
"13",2023-08-08,11,12,704,444.975,1227.125,612,826.25,"Previsto","ESTADO","srag"
"14",2023-05-23,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-05-30,11,2,8,8,9,8,8,"Estimado","ARAÇATUBA","srag"
"16",2023-06-06,11,3,10,10,11,10,10,"Estimado","ARAÇATUBA","srag"
"17",2023-06-13,11,4,11,11,12,11,11,"Estimado","ARAÇATUBA","srag"
"18",2023-06-20,11,5,15,15,17,15,15,"Estimado","ARAÇATUBA","srag"
"19",2023-06-27,11,6,18,18,20,18,18,"Estimado","ARAÇATUBA","srag"
"20",2023-07-04,11,7,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"21",2023-07-11,11,8,6,6,8,6,6,"Estimado","ARAÇATUBA","srag"
"22",2023-07-18,11,9,7,7,9.02499999999998,7,8,"Estimado","ARAÇATUBA","srag"
"23",2023-07-25,11,10,10,10,13,10,11,"Estimado","ARAÇATUBA","srag"
"24",2023-08-01,11,11,5,4,10,5,6,"Estimado","ARAÇATUBA","srag"
"25",2023-08-01,11,11,5,4,10,5,6,"Previsto","ARAÇATUBA","srag"
"26",2023-08-08,11,12,6,1,22,4,10,"Previsto","ARAÇATUBA","srag"
"27",2023-05-23,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-05-30,11,2,11,11,14,11,12,"Estimado","ARARAQUARA","srag"
"29",2023-06-06,11,3,20,20,24,20,21,"Estimado","ARARAQUARA","srag"
"30",2023-06-13,11,4,14,13,18,13,15,"Estimado","ARARAQUARA","srag"
"31",2023-06-20,11,5,14,12,19,13,15,"Estimado","ARARAQUARA","srag"
"32",2023-06-27,11,6,16,13,21,14,17,"Estimado","ARARAQUARA","srag"
"33",2023-07-04,11,7,17,14,23,16,19,"Estimado","ARARAQUARA","srag"
"34",2023-07-11,11,8,10,6,16,8.75,12,"Estimado","ARARAQUARA","srag"
"35",2023-07-18,11,9,13,9.975,20,12,15,"Estimado","ARARAQUARA","srag"
"36",2023-07-25,11,10,8,4,16,6,10,"Estimado","ARARAQUARA","srag"
"37",2023-08-01,11,11,11,5,25,8,15,"Estimado","ARARAQUARA","srag"
"38",2023-08-01,11,11,11,5,25,8,15,"Previsto","ARARAQUARA","srag"
"39",2023-08-08,11,12,10,2,30.025,6,15,"Previsto","ARARAQUARA","srag"
"40",2023-05-16,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-05-23,11,2,49,49,50,49,49,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-05-30,11,3,52,52,54,52,52,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-06-06,11,4,61,61,64,61,62,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-06-13,11,5,63,63,67,63,64,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-06-20,11,6,59,59,63,59,60,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-06-27,11,7,53,52,58,53,54,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-07-04,11,8,39,36,43.025,37,40,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-07-11,11,9,40,36,47,39,42,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-07-18,11,10,34,25,48.025,30,38,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-07-25,11,11,41,21.975,75.025,33,50,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-07-25,11,11,41,21.975,75.025,33,50,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-08-01,11,12,36,13.975,109.025,27,50,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-05-23,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-05-30,11,2,7,7,8,7,7,"Estimado","BARRETOS","srag"
"55",2023-06-06,11,3,6,6,7,6,6,"Estimado","BARRETOS","srag"
"56",2023-06-13,11,4,3,3,4,3,3,"Estimado","BARRETOS","srag"
"57",2023-06-20,11,5,4,4,6,4,4,"Estimado","BARRETOS","srag"
"58",2023-06-27,11,6,4,4,6,4,4,"Estimado","BARRETOS","srag"
"59",2023-07-04,11,7,0,0,1,0,0,"Estimado","BARRETOS","srag"
"60",2023-07-11,11,8,2,2,3,2,2,"Estimado","BARRETOS","srag"
"61",2023-07-18,11,9,3,3,5,3,4,"Estimado","BARRETOS","srag"
