"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-07-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-07-11,11,2,847,845,852,845.75,848,"Estimado","ESTADO","srag"
"3",2023-07-18,11,3,801,798,807,800,802,"Estimado","ESTADO","srag"
"4",2023-07-25,11,4,784,780,791,782,786,"Estimado","ESTADO","srag"
"5",2023-08-01,11,5,981,975,991,978,983.25,"Estimado","ESTADO","srag"
"6",2023-08-08,11,6,960,952,970,957,963,"Estimado","ESTADO","srag"
"7",2023-08-15,11,7,1032,1021,1045,1028,1035,"Estimado","ESTADO","srag"
"8",2023-08-22,11,8,906,889,927,900,913,"Estimado","ESTADO","srag"
"9",2023-08-29,11,9,882,854,917,871,894,"Estimado","ESTADO","srag"
"10",2023-09-05,11,10,948,877,1047.025,924.75,977.25,"Estimado","ESTADO","srag"
"11",2023-09-12,11,11,818,625.95,1093.025,741.75,894,"Estimado","ESTADO","srag"
"12",2023-09-12,11,11,818,625.95,1093.025,741.75,894,"Previsto","ESTADO","srag"
"13",2023-09-19,11,12,770.5,413.975,1283.05,639.75,917.25,"Previsto","ESTADO","srag"
"14",2023-07-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-07-11,11,2,6,6,8,6,6,"Estimado","ARAÇATUBA","srag"
"16",2023-07-18,11,3,7,7,9.02499999999998,7,7,"Estimado","ARAÇATUBA","srag"
"17",2023-07-25,11,4,11,11,14,11,11,"Estimado","ARAÇATUBA","srag"
"18",2023-08-01,11,5,10,10,14,10,11,"Estimado","ARAÇATUBA","srag"
"19",2023-08-08,11,6,14,14,18,14,15,"Estimado","ARAÇATUBA","srag"
"20",2023-08-15,11,7,15,15,19.025,15,16,"Estimado","ARAÇATUBA","srag"
"21",2023-08-22,11,8,9,9,14,9,10,"Estimado","ARAÇATUBA","srag"
"22",2023-08-29,11,9,7,6,11,6,7,"Estimado","ARAÇATUBA","srag"
"23",2023-09-05,11,10,24,23,28,23,25,"Estimado","ARAÇATUBA","srag"
"24",2023-09-12,11,11,6,2,15,4,8,"Estimado","ARAÇATUBA","srag"
"25",2023-09-12,11,11,6,2,15,4,8,"Previsto","ARAÇATUBA","srag"
"26",2023-09-19,11,12,11,1,39,7,18,"Previsto","ARAÇATUBA","srag"
"27",2023-07-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-07-11,11,2,6,6,7,6,6,"Estimado","ARARAQUARA","srag"
"29",2023-07-18,11,3,10,10,12,10,10,"Estimado","ARARAQUARA","srag"
"30",2023-07-25,11,4,4,4,6,4,4,"Estimado","ARARAQUARA","srag"
"31",2023-08-01,11,5,5,5,7,5,5,"Estimado","ARARAQUARA","srag"
"32",2023-08-08,11,6,7,7,9,7,8,"Estimado","ARARAQUARA","srag"
"33",2023-08-15,11,7,8,8,11,8,9,"Estimado","ARARAQUARA","srag"
"34",2023-08-22,11,8,9,8,12,8,10,"Estimado","ARARAQUARA","srag"
"35",2023-08-29,11,9,7,6,11,6,8,"Estimado","ARARAQUARA","srag"
"36",2023-09-05,11,10,8,6,14,7,10,"Estimado","ARARAQUARA","srag"
"37",2023-09-12,11,11,11,5,23,8,13,"Estimado","ARARAQUARA","srag"
"38",2023-09-12,11,11,11,5,23,8,13,"Previsto","ARARAQUARA","srag"
"39",2023-09-19,11,12,11,2,38.05,7,16,"Previsto","ARARAQUARA","srag"
"40",2023-07-04,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-07-11,11,2,40,40,42,40,40,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-07-18,11,3,23,23,25,23,23,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-07-25,11,4,27,27,30,27,28,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-08-01,11,5,41,41,45,41,42,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-08-08,11,6,31,30,34,30,32,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-08-15,11,7,48,45,54,46,49,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-08-22,11,8,42,39,49,41,44,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-08-29,11,9,27,23,34,26,29,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-09-05,11,10,37,29,52,33,41,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-09-12,11,11,31,10,83,23,42,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-09-12,11,11,31,10,83,23,42,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-09-19,11,12,31,6,112,20,48,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-06-27,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-07-04,11,2,0,0,1,0,0,"Estimado","BARRETOS","srag"
"55",2023-07-11,11,3,3,3,5,3,3,"Estimado","BARRETOS","srag"
"56",2023-07-18,11,4,3,3,5,3,3,"Estimado","BARRETOS","srag"
"57",2023-07-25,11,5,1,1,4.02499999999998,1,1,"Estimado","BARRETOS","srag"
"58",2023-08-01,11,6,4,4,8,4,5,"Estimado","BARRETOS","srag"
"59",2023-08-08,11,7,5,5,10,5,6,"Estimado","BARRETOS","srag"
"60",2023-08-15,11,8,9,9,15,9,10,"Estimado","BARRETOS","srag"
"61",2023-08-22,11,9,4,3,11,3,5,"Estimado","BARRETOS","srag"
"62",2023-08-29,11,10,6,4,14,5,7,"Estimado","BARRETOS","srag"
"63",2023-09-05,11,11,8,2,30,5,11,"Estimado","BARRETOS","srag"
"64",2023-09-05,11,11,8,2,30,5,11,"Previsto","BARRETOS","srag"
"65",2023-09-12,11,12,9,1,43.025,5,15,"Previsto","BARRETOS","srag"
"66",2023-06-27,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-07-04,11,2,52,52,53,52,52,"Estimado","BAURU","srag"
"68",2023-07-11,11,3,31,31,33,31,31,"Estimado","BAURU","srag"
"69",2023-07-18,11,4,37,37,40,37,37,"Estimado","BAURU","srag"
"70",2023-07-25,11,5,57,57,61,57,58,"Estimado","BAURU","srag"
"71",2023-08-01,11,6,46,46,50,46,47,"Estimado","BAURU","srag"
"72",2023-08-08,11,7,68,67,73,67,69,"Estimado","BAURU","srag"
"73",2023-08-15,11,8,39,35,46,37,41,"Estimado","BAURU","srag"
"74",2023-08-22,11,9,35,29,46,32,39,"Estimado","BAURU","srag"
"75",2023-08-29,11,10,47,30,81,40,56,"Estimado","BAURU","srag"
"76",2023-09-05,11,11,47,18,115.05,34,63,"Estimado","BAURU","srag"
"77",2023-09-05,11,11,47,18,115.05,34,63,"Previsto","BAURU","srag"
"78",2023-09-12,11,12,45,12.975,157.3,31,69,"Previsto","BAURU","srag"
"79",2023-07-04,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-07-11,11,2,86,86,87,86,86,"Estimado","CAMPINAS","srag"
"81",2023-07-18,11,3,93,93,95,93,93,"Estimado","CAMPINAS","srag"
"82",2023-07-25,11,4,98,98,101,98,99,"Estimado","CAMPINAS","srag"
"83",2023-08-01,11,5,106,106,110,106,107,"Estimado","CAMPINAS","srag"
"84",2023-08-08,11,6,121,120,124,120,122,"Estimado","CAMPINAS","srag"
"85",2023-08-15,11,7,142,140,146,141,143,"Estimado","CAMPINAS","srag"
"86",2023-08-22,11,8,110,106.975,115,108,111,"Estimado","CAMPINAS","srag"
"87",2023-08-29,11,9,106,101,112,104,108,"Estimado","CAMPINAS","srag"
"88",2023-09-05,11,10,92,83,102,89,95,"Estimado","CAMPINAS","srag"
"89",2023-09-12,11,11,88,62.975,122,78,98,"Estimado","CAMPINAS","srag"
