"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-08-30,931,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-09-06,1031,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-09-13,1085,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-09-20,1066,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-09-27,1240,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2023-10-04,1296,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2023-10-11,1433,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2023-10-18,1424,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2023-10-25,1200,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2023-11-01,1113,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2023-11-08,1002,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2023-11-15,831,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2023-11-22,732,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2023-11-29,728,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2023-12-06,726,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2023-12-13,551,2,553,551,558,552,554,"Estimado","ESTADO","srag"
"17",2023-12-20,490,3,494,490,500,492,495,"Estimado","ESTADO","srag"
"18",2023-12-27,570,4,575,571,583,574,578,"Estimado","ESTADO","srag"
"19",2024-01-03,453,5,457,451,466,455,460,"Estimado","ESTADO","srag"
"20",2024-01-10,462,6,473,465,483,470,476,"Estimado","ESTADO","srag"
"21",2024-01-17,554,7,575,564,589.025,571,580,"Estimado","ESTADO","srag"
"22",2024-01-24,645,8,673,657,694,668,679,"Estimado","ESTADO","srag"
"23",2024-01-31,816,9,884.5,853,921,872,896,"Estimado","ESTADO","srag"
"24",2024-02-07,867,10,1078,1002.975,1167.05,1051,1106.25,"Estimado","ESTADO","srag"
"25",2024-02-14,703,11,1393.5,1151.925,1719.05,1299.75,1501,"Estimado","ESTADO","srag"
"26",2024-02-14,703,11,1393.5,1151.925,1719.05,1299.75,1501,"Previsto","ESTADO","srag"
"27",2024-02-21,NA,12,1790,1224.975,2695.1,1570,2073,"Previsto","ESTADO","srag"
"28",2023-08-30,19,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-09-06,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-09-13,24,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-09-20,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-09-27,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2023-10-04,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2023-10-11,22,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2023-10-18,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2023-10-25,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
