"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-06-21,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-06-28,11,2,1170,1169,1173,1169,1171,"Estimado","ESTADO","srag"
"3",2023-07-05,11,3,1147,1145,1153,1146,1149,"Estimado","ESTADO","srag"
"4",2023-07-12,11,4,792,789,797,790,794,"Estimado","ESTADO","srag"
"5",2023-07-19,11,5,798,793,806,797,800,"Estimado","ESTADO","srag"
"6",2023-07-26,11,6,822,815,832,819,825,"Estimado","ESTADO","srag"
"7",2023-08-02,11,7,981,970,994,977,985,"Estimado","ESTADO","srag"
"8",2023-08-09,11,8,994,978,1012,988,1000,"Estimado","ESTADO","srag"
"9",2023-08-16,11,9,1013,987,1041,1003,1022.25,"Estimado","ESTADO","srag"
"10",2023-08-23,11,10,911,859,968.025,893,930,"Estimado","ESTADO","srag"
"11",2023-08-30,11,11,798,667.975,962.05,748.75,848,"Estimado","ESTADO","srag"
"12",2023-08-30,11,11,798,667.975,962.05,748.75,848,"Previsto","ESTADO","srag"
"13",2023-09-06,11,12,707.5,436,1143.05,601,828.75,"Previsto","ESTADO","srag"
"14",2023-06-21,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-06-28,11,2,18,18,19,18,18,"Estimado","ARAÇATUBA","srag"
"16",2023-07-05,11,3,13,13,14,13,13,"Estimado","ARAÇATUBA","srag"
"17",2023-07-12,11,4,6,6,8,6,6,"Estimado","ARAÇATUBA","srag"
"18",2023-07-19,11,5,7,7,9,7,7,"Estimado","ARAÇATUBA","srag"
"19",2023-07-26,11,6,12,12,14,12,12,"Estimado","ARAÇATUBA","srag"
"20",2023-08-02,11,7,9,9,12,9,10,"Estimado","ARAÇATUBA","srag"
"21",2023-08-09,11,8,14,14,17,14,15,"Estimado","ARAÇATUBA","srag"
"22",2023-08-16,11,9,15,15,18,15,16,"Estimado","ARAÇATUBA","srag"
"23",2023-08-23,11,10,11,10,14,10,12,"Estimado","ARAÇATUBA","srag"
"24",2023-08-30,11,11,5,2,11,3,6,"Estimado","ARAÇATUBA","srag"
"25",2023-08-30,11,11,5,2,11,3,6,"Previsto","ARAÇATUBA","srag"
"26",2023-09-06,11,12,7,0,25,3,11,"Previsto","ARAÇATUBA","srag"
