"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-03-22,11,2,1880,1872,1893,1876,1883,"Estimado","ESTADO","srag"
"3",2023-03-29,11,3,1747,1736,1761,1743,1752,"Estimado","ESTADO","srag"
"4",2023-04-05,11,4,1566,1552,1582,1560,1571,"Estimado","ESTADO","srag"
"5",2023-04-12,11,5,1477,1458.975,1496,1470,1483,"Estimado","ESTADO","srag"
"6",2023-04-19,11,6,1426,1406,1451,1418,1434,"Estimado","ESTADO","srag"
"7",2023-04-26,11,7,1404,1380,1434,1395,1413,"Estimado","ESTADO","srag"
"8",2023-05-03,11,8,1388,1356,1429,1377,1401,"Estimado","ESTADO","srag"
"9",2023-05-10,11,9,1426,1381,1483,1410,1444,"Estimado","ESTADO","srag"
"10",2023-05-17,11,10,1520,1426.975,1619.025,1486,1551.25,"Estimado","ESTADO","srag"
"11",2023-05-24,11,11,1418,1190.825,1720.05,1341,1513.25,"Estimado","ESTADO","srag"
"12",2023-05-24,11,11,1418,1190.825,1720.05,1341,1513.25,"Previsto","ESTADO","srag"
"13",2023-05-31,11,12,1435.5,1052.925,1933.025,1297,1590.75,"Previsto","ESTADO","srag"
"14",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-03-22,11,2,27,0,28,27,27,"Estimado","ARAÇATUBA","srag"
"16",2023-03-29,11,3,26,0,27,26,26,"Estimado","ARAÇATUBA","srag"
"17",2023-04-05,11,4,39,0,41,39,39,"Estimado","ARAÇATUBA","srag"
"18",2023-04-12,11,5,22,0,24,22,22,"Estimado","ARAÇATUBA","srag"
"19",2023-04-19,11,6,23,0,25,23,23,"Estimado","ARAÇATUBA","srag"
"20",2023-04-26,11,7,22,0,24,22,22,"Estimado","ARAÇATUBA","srag"
"21",2023-05-03,11,8,23,0,25,23,23,"Estimado","ARAÇATUBA","srag"
"22",2023-05-10,11,9,16,0,19,16,17,"Estimado","ARAÇATUBA","srag"
"23",2023-05-17,11,10,14,0,17,14,15,"Estimado","ARAÇATUBA","srag"
"24",2023-05-24,11,11,8,0,13,6,9,"Estimado","ARAÇATUBA","srag"
"25",2023-05-24,11,11,8,0,13,6,9,"Previsto","ARAÇATUBA","srag"
"26",2023-05-31,11,12,8,0,21,4,12,"Previsto","ARAÇATUBA","srag"
"27",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-03-22,11,2,31,31,36,31,32,"Estimado","ARARAQUARA","srag"
"29",2023-03-29,11,3,31,30,36,30,33,"Estimado","ARARAQUARA","srag"
"30",2023-04-05,11,4,22,20,27,21,23,"Estimado","ARARAQUARA","srag"
"31",2023-04-12,11,5,22,20,27,21,23,"Estimado","ARARAQUARA","srag"
"32",2023-04-19,11,6,21,19,26,20,22,"Estimado","ARARAQUARA","srag"
"33",2023-04-26,11,7,23,21,28,22,25,"Estimado","ARARAQUARA","srag"
"34",2023-05-03,11,8,13,10,18.025,12,15,"Estimado","ARARAQUARA","srag"
"35",2023-05-10,11,9,20,16,25.025,18,21,"Estimado","ARARAQUARA","srag"
"36",2023-05-17,11,10,17,13,25,16,20,"Estimado","ARARAQUARA","srag"
"37",2023-05-24,11,11,15,9,28.025,13,19,"Estimado","ARARAQUARA","srag"
"38",2023-05-24,11,11,15,9,28.025,13,19,"Previsto","ARARAQUARA","srag"
"39",2023-05-31,11,12,13,3,47,9,19,"Previsto","ARARAQUARA","srag"
"40",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-03-22,11,2,50,50,53,50,51,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-03-29,11,3,61,60,65.025,60,62,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-04-05,11,4,66,64,70,65,67,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-04-12,11,5,59,57,65,58,61,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-04-19,11,6,57,54,62,56,59,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-04-26,11,7,39,36,46,38,41,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-05-03,11,8,37,33,43,36,39,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-05-10,11,9,37,32,44,35,39,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-05-17,11,10,38,30,50,35,42,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-05-24,11,11,33,18,56.05,27,40,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-05-24,11,11,33,18,56.05,27,40,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-05-31,11,12,31,12,69,23,39.25,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-03-13,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-03-20,11,2,12,12,13,12,12,"Estimado","BARRETOS","srag"
"55",2023-03-27,11,3,9,9,10.025,9,9,"Estimado","BARRETOS","srag"
"56",2023-04-03,11,4,6,6,8,6,6,"Estimado","BARRETOS","srag"
"57",2023-04-10,11,5,9,9,10,9,9,"Estimado","BARRETOS","srag"
"58",2023-04-17,11,6,9,9,11,9,9,"Estimado","BARRETOS","srag"
"59",2023-04-24,11,7,9,9,11,9,9,"Estimado","BARRETOS","srag"
"60",2023-05-01,11,8,7,7,9,7,8,"Estimado","BARRETOS","srag"
"61",2023-05-08,11,9,5,5,8,5,6,"Estimado","BARRETOS","srag"
"62",2023-05-15,11,10,6,5,10,6,7,"Estimado","BARRETOS","srag"
"63",2023-05-22,11,11,6,1,13,4,7,"Estimado","BARRETOS","srag"
"64",2023-05-22,11,11,6,1,13,4,7,"Previsto","BARRETOS","srag"
"65",2023-05-29,11,12,5,1,17,3,8,"Previsto","BARRETOS","srag"
"66",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-03-22,11,2,107,107,109,107,108,"Estimado","BAURU","srag"
"68",2023-03-29,11,3,84,84,88,84,85,"Estimado","BAURU","srag"
"69",2023-04-05,11,4,112,111,116,111,113,"Estimado","BAURU","srag"
"70",2023-04-12,11,5,75,74,80,74,76,"Estimado","BAURU","srag"
"71",2023-04-19,11,6,61,59,66,60,62,"Estimado","BAURU","srag"
"72",2023-04-26,11,7,70,68,75,69,72,"Estimado","BAURU","srag"
"73",2023-05-03,11,8,73,70,78,71,74,"Estimado","BAURU","srag"
"74",2023-05-10,11,9,66,62,73,65,68,"Estimado","BAURU","srag"
"75",2023-05-17,11,10,56,48,69,53,60,"Estimado","BAURU","srag"
"76",2023-05-24,11,11,37,13,86.05,27,50,"Estimado","BAURU","srag"
"77",2023-05-24,11,11,37,13,86.05,27,50,"Previsto","BAURU","srag"
"78",2023-05-31,11,12,39,9,106,27,52,"Previsto","BAURU","srag"
"79",2023-03-15,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-03-22,11,2,269,269,271,269,269,"Estimado","CAMPINAS","srag"
"81",2023-03-29,11,3,244,244,246,244,244,"Estimado","CAMPINAS","srag"
"82",2023-04-05,11,4,204,204,207,204,205,"Estimado","CAMPINAS","srag"
"83",2023-04-12,11,5,196,196,199,196,197,"Estimado","CAMPINAS","srag"
"84",2023-04-19,11,6,216,215,219,215,217,"Estimado","CAMPINAS","srag"
"85",2023-04-26,11,7,189,187,193,188,190,"Estimado","CAMPINAS","srag"
"86",2023-05-03,11,8,181,177,187,179,183,"Estimado","CAMPINAS","srag"
"87",2023-05-10,11,9,188,181,197,186,191,"Estimado","CAMPINAS","srag"
"88",2023-05-17,11,10,215,202,230.025,210,220,"Estimado","CAMPINAS","srag"
