"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-08-11,11,2,1001,999,1007,1000,1003,"Estimado","ESTADO","srag"
"3",2023-08-18,11,3,933,928,942,931,936,"Estimado","ESTADO","srag"
"4",2023-08-25,11,4,933,926,942,930,936,"Estimado","ESTADO","srag"
"5",2023-09-01,11,5,929,920,940,925,932,"Estimado","ESTADO","srag"
"6",2023-09-08,11,6,1025,1014,1038,1021,1029.25,"Estimado","ESTADO","srag"
"7",2023-09-15,11,7,1072,1057.975,1091,1067.75,1078,"Estimado","ESTADO","srag"
"8",2023-09-22,11,8,1052,1031.975,1077,1045,1060,"Estimado","ESTADO","srag"
"9",2023-09-29,11,9,1166,1132,1209,1154,1179,"Estimado","ESTADO","srag"
"10",2023-10-06,11,10,1187,1106,1286,1155.75,1225,"Estimado","ESTADO","srag"
"11",2023-10-13,11,11,1112,875.925,1415.025,1024.75,1202,"Estimado","ESTADO","srag"
"12",2023-10-13,11,11,1112,875.925,1415.025,1024.75,1202,"Previsto","ESTADO","srag"
"13",2023-10-20,11,12,1122.5,767.95,1589.175,998.75,1269,"Previsto","ESTADO","srag"
"14",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-08-11,11,2,14,14,16,14,14,"Estimado","ARAÇATUBA","srag"
"16",2023-08-18,11,3,15,15,17,15,15,"Estimado","ARAÇATUBA","srag"
"17",2023-08-25,11,4,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"18",2023-09-01,11,5,18,18,20,18,18,"Estimado","ARAÇATUBA","srag"
"19",2023-09-08,11,6,9,9,11,9,9,"Estimado","ARAÇATUBA","srag"
"20",2023-09-15,11,7,24,24,27,24,24,"Estimado","ARAÇATUBA","srag"
"21",2023-09-22,11,8,15,15,18,15,15,"Estimado","ARAÇATUBA","srag"
"22",2023-09-29,11,9,16,16,20,16,17,"Estimado","ARAÇATUBA","srag"
"23",2023-10-06,11,10,12,10,18,11,14,"Estimado","ARAÇATUBA","srag"
"24",2023-10-13,11,11,15,7,30,12,19,"Estimado","ARAÇATUBA","srag"
"25",2023-10-13,11,11,15,7,30,12,19,"Previsto","ARAÇATUBA","srag"
"26",2023-10-20,11,12,15,4,40.025,10,20,"Previsto","ARAÇATUBA","srag"
"27",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-08-11,11,2,10,10,13,10,11,"Estimado","ARARAQUARA","srag"
"29",2023-08-18,11,3,18,17,22,17,19,"Estimado","ARARAQUARA","srag"
"30",2023-08-25,11,4,8,6,14,7,9,"Estimado","ARARAQUARA","srag"
"31",2023-09-01,11,5,13,10,20,11,15,"Estimado","ARARAQUARA","srag"
"32",2023-09-08,11,6,16,12,27,14,18,"Estimado","ARARAQUARA","srag"
"33",2023-09-15,11,7,17,13,28.025,15,20,"Estimado","ARARAQUARA","srag"
"34",2023-09-22,11,8,15,9,28,12,18,"Estimado","ARARAQUARA","srag"
"35",2023-09-29,11,9,24,17,39.025,21,28,"Estimado","ARARAQUARA","srag"
"36",2023-10-06,11,10,22,14,43,18,27,"Estimado","ARARAQUARA","srag"
"37",2023-10-13,11,11,20,8,56.0999999999999,15,27,"Estimado","ARARAQUARA","srag"
"38",2023-10-13,11,11,20,8,56.0999999999999,15,27,"Previsto","ARARAQUARA","srag"
"39",2023-10-20,11,12,26,5,100.025,16,38,"Previsto","ARARAQUARA","srag"
"40",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-08-11,11,2,37,37,38,37,37,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-08-18,11,3,40,40,42,40,40,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-08-25,11,4,36,36,39,36,36,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-09-01,11,5,33,33,36,33,34,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-09-08,11,6,44,44,47,44,45,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-09-15,11,7,33,32,37,32,34,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-09-22,11,8,35,33,39,34,36,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-09-29,11,9,62,58,69.025,61,64,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-10-06,11,10,51,41,69,47,56,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-10-13,11,11,49.5,23,102,40,63,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-10-13,11,11,49.5,23,102,40,63,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-10-20,11,12,55,16.975,140.025,41,76,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-07-28,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-08-04,11,2,5,5,6,5,5,"Estimado","BARRETOS","srag"
"55",2023-08-11,11,3,5,5,6,5,5,"Estimado","BARRETOS","srag"
"56",2023-08-18,11,4,8,8,10,8,8,"Estimado","BARRETOS","srag"
"57",2023-08-25,11,5,8,8,10,8,8,"Estimado","BARRETOS","srag"
"58",2023-09-01,11,6,6,6,8,6,6,"Estimado","BARRETOS","srag"
"59",2023-09-08,11,7,4,4,6,4,4,"Estimado","BARRETOS","srag"
"60",2023-09-15,11,8,1,1,3,1,2,"Estimado","BARRETOS","srag"
"61",2023-09-22,11,9,2,2,4,2,3,"Estimado","BARRETOS","srag"
"62",2023-09-29,11,10,1,1,4,1,2,"Estimado","BARRETOS","srag"
"63",2023-10-06,11,11,2,1,8,1,3,"Estimado","BARRETOS","srag"
"64",2023-10-06,11,11,2,1,8,1,3,"Previsto","BARRETOS","srag"
"65",2023-10-13,11,12,1,0,17,0,3,"Previsto","BARRETOS","srag"
"66",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-08-11,11,2,69,69,70,69,69,"Estimado","BAURU","srag"
"68",2023-08-18,11,3,40,40,42,40,40,"Estimado","BAURU","srag"
"69",2023-08-25,11,4,39,39,41,39,39,"Estimado","BAURU","srag"
"70",2023-09-01,11,5,42,42,44,42,42,"Estimado","BAURU","srag"
"71",2023-09-08,11,6,43,43,46,43,44,"Estimado","BAURU","srag"
"72",2023-09-15,11,7,51,51,54,51,52,"Estimado","BAURU","srag"
"73",2023-09-22,11,8,45,44,48.025,44,46,"Estimado","BAURU","srag"
"74",2023-09-29,11,9,35,32,41.025,34,37,"Estimado","BAURU","srag"
"75",2023-10-06,11,10,41,34,54,38,45,"Estimado","BAURU","srag"
"76",2023-10-13,11,11,40,20,91,32,52,"Estimado","BAURU","srag"
"77",2023-10-13,11,11,40,20,91,32,52,"Previsto","BAURU","srag"
"78",2023-10-20,11,12,39,13,108,28,54,"Previsto","BAURU","srag"
"79",2023-08-04,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-08-11,11,2,126,126,127,126,126,"Estimado","CAMPINAS","srag"
"81",2023-08-18,11,3,113,113,115,113,113,"Estimado","CAMPINAS","srag"
"82",2023-08-25,11,4,111,111,113,111,111,"Estimado","CAMPINAS","srag"
"83",2023-09-01,11,5,93,93,96,93,94,"Estimado","CAMPINAS","srag"
"84",2023-09-08,11,6,113,113,116,113,114,"Estimado","CAMPINAS","srag"
"85",2023-09-15,11,7,117,116,120,116,118,"Estimado","CAMPINAS","srag"
"86",2023-09-22,11,8,110,107,115,109,111,"Estimado","CAMPINAS","srag"
"87",2023-09-29,11,9,141,135,148,139,143,"Estimado","CAMPINAS","srag"
"88",2023-10-06,11,10,135,121,151.025,130,140.25,"Estimado","CAMPINAS","srag"
"89",2023-10-13,11,11,146,110,198.025,133,163,"Estimado","CAMPINAS","srag"
