"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-12-27,44,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2024-01-03,44,2,503,502,507,502,504,"Estimado","ESTADO","srag"
"3",2024-01-10,44,3,452,450,458,451,454,"Estimado","ESTADO","srag"
"4",2024-01-17,44,4,483,480,490.025,482,485,"Estimado","ESTADO","srag"
"5",2024-01-24,44,5,621,615,629,619,623,"Estimado","ESTADO","srag"
"6",2024-01-31,44,6,768,759,782,765,773,"Estimado","ESTADO","srag"
"7",2024-02-07,44,7,1049,1031,1069,1043,1056,"Estimado","ESTADO","srag"
"8",2024-02-14,44,8,1244,1218,1275,1235,1254,"Estimado","ESTADO","srag"
"9",2024-02-21,44,9,1325,1284,1375.025,1309,1340,"Estimado","ESTADO","srag"
"10",2024-02-28,44,10,1252,1168,1357.025,1222,1285,"Estimado","ESTADO","srag"
"11",2024-03-06,44,11,1198.5,941,1534.075,1109,1298,"Estimado","ESTADO","srag"
"12",2024-03-06,44,11,1198.5,941,1534.075,1109,1298,"Previsto","ESTADO","srag"
"13",2024-03-13,44,12,1230.5,768,1920.1,1067.75,1436.5,"Previsto","ESTADO","srag"
"14",2023-12-23,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-12-30,11,2,5,5,5,5,5,"Estimado","ARAÇATUBA","srag"
"16",2024-01-06,11,3,6,6,7,6,6,"Estimado","ARAÇATUBA","srag"
"17",2024-01-13,11,4,4,4,5,4,4,"Estimado","ARAÇATUBA","srag"
"18",2024-01-20,11,5,9,9,11,9,9,"Estimado","ARAÇATUBA","srag"
"19",2024-01-27,11,6,11,11,14,11,11,"Estimado","ARAÇATUBA","srag"
"20",2024-02-03,11,7,18,18,22,18,19,"Estimado","ARAÇATUBA","srag"
"21",2024-02-10,11,8,22,21,26,21,23,"Estimado","ARAÇATUBA","srag"
"22",2024-02-17,11,9,17,16,22,16,18,"Estimado","ARAÇATUBA","srag"
"23",2024-02-24,11,10,13,11,19,12,14,"Estimado","ARAÇATUBA","srag"
"24",2024-03-02,11,11,9,3,23,6.75,13,"Estimado","ARAÇATUBA","srag"
"25",2024-03-02,11,11,9,3,23,6.75,13,"Previsto","ARAÇATUBA","srag"
"26",2024-03-09,11,12,9,0.975000000000001,31,4.75,15,"Previsto","ARAÇATUBA","srag"
"27",2023-12-27,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2024-01-03,11,2,4,4,4,4,4,"Estimado","ARARAQUARA","srag"
"29",2024-01-10,11,3,3,3,4,3,3,"Estimado","ARARAQUARA","srag"
"30",2024-01-17,11,4,7,7,8,7,7,"Estimado","ARARAQUARA","srag"
"31",2024-01-24,11,5,7,7,9,7,7,"Estimado","ARARAQUARA","srag"
"32",2024-01-31,11,6,13,13,15.025,13,13,"Estimado","ARARAQUARA","srag"
"33",2024-02-07,11,7,10,10,14,10,10,"Estimado","ARARAQUARA","srag"
"34",2024-02-14,11,8,28,28,32.025,28,28,"Estimado","ARARAQUARA","srag"
"35",2024-02-21,11,9,28,28,33.025,28,29,"Estimado","ARARAQUARA","srag"
"36",2024-02-28,11,10,16,15,24,15,18,"Estimado","ARARAQUARA","srag"
"37",2024-03-06,11,11,7,3,28,5,11,"Estimado","ARARAQUARA","srag"
"38",2024-03-06,11,11,7,3,28,5,11,"Previsto","ARARAQUARA","srag"
"39",2024-03-13,11,12,13,0,86,6,28,"Previsto","ARARAQUARA","srag"
"40",2023-12-20,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-12-27,11,2,23,23,24,23,23,"Estimado","BAIXADA SANTISTA","srag"
"42",2024-01-03,11,3,20,20,21,20,20,"Estimado","BAIXADA SANTISTA","srag"
"43",2024-01-10,11,4,24,24,26,24,24,"Estimado","BAIXADA SANTISTA","srag"
"44",2024-01-17,11,5,20,20,22,20,20,"Estimado","BAIXADA SANTISTA","srag"
"45",2024-01-24,11,6,27,27,30,27,28,"Estimado","BAIXADA SANTISTA","srag"
"46",2024-01-31,11,7,33,33,37,33,34,"Estimado","BAIXADA SANTISTA","srag"
"47",2024-02-07,11,8,44,42,48,43,45,"Estimado","BAIXADA SANTISTA","srag"
"48",2024-02-14,11,9,46,42,55,45,49,"Estimado","BAIXADA SANTISTA","srag"
"49",2024-02-21,11,10,62,49,83,57.75,68,"Estimado","BAIXADA SANTISTA","srag"
"50",2024-02-28,11,11,65,32,122.025,52,80,"Estimado","BAIXADA SANTISTA","srag"
"51",2024-02-28,11,11,65,32,122.025,52,80,"Previsto","BAIXADA SANTISTA","srag"
"52",2024-03-06,11,12,78,23.975,187.05,57,104,"Previsto","BAIXADA SANTISTA","srag"
"53",2024-01-03,11,1,4,4,8,4,5,"Estimado","BARRETOS","srag"
"54",2024-01-10,11,2,2,2,9,2,4,"Estimado","BARRETOS","srag"
"55",2024-01-17,11,3,5,4,15,4,7,"Estimado","BARRETOS","srag"
"56",2024-01-24,11,4,12,9,29,10,14,"Estimado","BARRETOS","srag"
"57",2024-01-31,11,5,13,8,35.025,10,16,"Estimado","BARRETOS","srag"
"58",2024-02-07,11,6,18,11,53,14,22,"Estimado","BARRETOS","srag"
"59",2024-02-14,11,7,25,15,68.0749999999999,20,32,"Estimado","BARRETOS","srag"
"60",2024-02-21,11,8,39,24.975,97.025,32,48,"Estimado","BARRETOS","srag"
"61",2024-02-28,11,9,31,15,91.0749999999999,24,43,"Estimado","BARRETOS","srag"
"62",2024-03-06,11,10,34,9,122.025,22,51,"Estimado","BARRETOS","srag"
"63",2024-03-06,11,10,34,9,122.025,22,51,"Previsto","BARRETOS","srag"
"64",2024-03-13,11,11,37.5,3,187,19,68,"Previsto","BARRETOS","srag"
"65",2023-12-20,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"66",2023-12-27,11,2,22,22,23,22,22,"Estimado","BAURU","srag"
"67",2024-01-03,11,3,15,15,16,15,15,"Estimado","BAURU","srag"
"68",2024-01-10,11,4,12,12,13,12,12,"Estimado","BAURU","srag"
"69",2024-01-17,11,5,19,19,21,19,19,"Estimado","BAURU","srag"
"70",2024-01-24,11,6,13,13,15,13,14,"Estimado","BAURU","srag"
"71",2024-01-31,11,7,16,16,20,16,17,"Estimado","BAURU","srag"
"72",2024-02-07,11,8,31,30,37,31,33,"Estimado","BAURU","srag"
"73",2024-02-14,11,9,45,41,54,43,47,"Estimado","BAURU","srag"
"74",2024-02-21,11,10,54,42.975,78,50,60,"Estimado","BAURU","srag"
"75",2024-02-28,11,11,44,17,114.025,33,60,"Estimado","BAURU","srag"
"76",2024-02-28,11,11,44,17,114.025,33,60,"Previsto","BAURU","srag"
"77",2024-03-06,11,12,54,7.975,202.125,32,86,"Previsto","BAURU","srag"
"78",2023-12-27,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"79",2024-01-03,11,2,51,51,53,51,51,"Estimado","CAMPINAS","srag"
"80",2024-01-10,11,3,41,41,43,41,41,"Estimado","CAMPINAS","srag"
"81",2024-01-17,11,4,68,68,71,68,69,"Estimado","CAMPINAS","srag"
"82",2024-01-24,11,5,61,60,65,60,61,"Estimado","CAMPINAS","srag"
"83",2024-01-31,11,6,72,71,78,72,74,"Estimado","CAMPINAS","srag"
"84",2024-02-07,11,7,131,128,138,129.75,133,"Estimado","CAMPINAS","srag"
"85",2024-02-14,11,8,150,145,160,148,153,"Estimado","CAMPINAS","srag"
"86",2024-02-21,11,9,202,193,220,199,207,"Estimado","CAMPINAS","srag"
