"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2024-02-14,1459,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2024-02-21,1409,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2024-02-28,1239,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2024-03-06,1288,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2024-03-13,1189,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2024-03-20,1260,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2024-03-27,1561,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2024-04-03,1600,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2024-04-10,1644,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2024-04-17,1522,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2024-04-24,1454,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2024-05-01,1268,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2024-05-08,1247,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2024-05-15,1160,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-05-22,1158,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-05-29,1287,2,1293,1287,1303,1291,1296,"Estimado","ESTADO","srag"
"17",2024-06-05,1366,3,1375,1367,1387,1372,1378,"Estimado","ESTADO","srag"
"18",2024-06-12,1337,4,1350,1340,1365,1346,1355,"Estimado","ESTADO","srag"
"19",2024-06-19,1149,5,1173,1161,1190,1168,1179,"Estimado","ESTADO","srag"
"20",2024-06-26,1194,6,1234,1219,1254,1228,1241,"Estimado","ESTADO","srag"
"21",2024-07-03,920,7,984,965,1006,977,991.25,"Estimado","ESTADO","srag"
"22",2024-07-10,853,8,942,919,972,935,952,"Estimado","ESTADO","srag"
"23",2024-07-17,839,9,993,957,1030.05,981,1005,"Estimado","ESTADO","srag"
"24",2024-07-24,823,10,1097,1032,1167,1074.75,1120,"Estimado","ESTADO","srag"
"25",2024-07-31,570,11,1268,1056,1542,1189,1354,"Estimado","ESTADO","srag"
"26",2024-07-31,570,11,1268,1056,1542,1189,1354,"Previsto","ESTADO","srag"
"27",2024-08-07,NA,12,1497.5,1001.675,2372.3,1297.75,1736,"Previsto","ESTADO","srag"
"28",2024-02-21,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2024-02-28,12,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2024-03-06,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2024-03-13,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2024-03-20,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2024-03-27,23,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2024-04-03,25,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2024-04-10,19,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2024-04-17,48,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2024-04-24,29,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2024-05-01,34,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2024-05-08,30,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2024-05-15,22,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2024-05-22,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-05-29,16,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-06-05,17,2,17,17,18,17,17,"Estimado","ARAÇATUBA","srag"
"44",2024-06-12,14,3,14,14,15,14,14,"Estimado","ARAÇATUBA","srag"
"45",2024-06-19,16,4,16,16,17,16,16,"Estimado","ARAÇATUBA","srag"
"46",2024-06-26,13,5,13,13,14,13,13,"Estimado","ARAÇATUBA","srag"
"47",2024-07-03,14,6,14,14,15,14,14,"Estimado","ARAÇATUBA","srag"
"48",2024-07-10,10,7,10,10,11,10,10,"Estimado","ARAÇATUBA","srag"
"49",2024-07-17,6,8,6,6,8,6,6,"Estimado","ARAÇATUBA","srag"
"50",2024-07-24,14,9,14,14,16,14,15,"Estimado","ARAÇATUBA","srag"
"51",2024-07-31,11,10,13,11,17,12,14,"Estimado","ARAÇATUBA","srag"
"52",2024-08-07,1,11,8,2,16,6,10,"Estimado","ARAÇATUBA","srag"
"53",2024-08-07,1,11,8,2,16,6,10,"Previsto","ARAÇATUBA","srag"
"54",2024-08-14,NA,12,9,2,23,6,12,"Previsto","ARAÇATUBA","srag"
"55",2024-02-21,30,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"56",2024-02-28,31,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"57",2024-03-06,21,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"58",2024-03-13,21,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"59",2024-03-20,14,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"60",2024-03-27,18,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"61",2024-04-03,27,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"62",2024-04-10,20,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"63",2024-04-17,16,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
