"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-12-13,44,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-12-20,44,2,492,490,499,491,494,"Estimado","ESTADO","srag"
"3",2023-12-27,44,3,574,570,583.025,573,576,"Estimado","ESTADO","srag"
"4",2024-01-03,44,4,458,453,467,456,460,"Estimado","ESTADO","srag"
"5",2024-01-10,44,5,473,466,483,470,476,"Estimado","ESTADO","srag"
"6",2024-01-17,44,6,575,564,588,570,579,"Estimado","ESTADO","srag"
"7",2024-01-24,44,7,689,674,712,683,696,"Estimado","ESTADO","srag"
"8",2024-01-31,44,8,916,889,948.025,905,926,"Estimado","ESTADO","srag"
"9",2024-02-07,44,9,1132,1068,1203,1108,1155,"Estimado","ESTADO","srag"
"10",2024-02-14,44,10,1483,1303,1710,1414,1556,"Estimado","ESTADO","srag"
"11",2024-02-21,44,11,1746.5,1318.95,2396.325,1572.5,1941,"Estimado","ESTADO","srag"
"12",2024-02-21,44,11,1746.5,1318.95,2396.325,1572.5,1941,"Previsto","ESTADO","srag"
"13",2024-02-28,44,12,2246,1408.95,3657.35,1897.5,2670.25,"Previsto","ESTADO","srag"
"14",2023-12-20,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-12-27,11,2,4,4,4,4,4,"Estimado","ARAÇATUBA","srag"
"16",2024-01-03,11,3,3,3,4,3,3,"Estimado","ARAÇATUBA","srag"
"17",2024-01-10,11,4,8,8,9,8,8,"Estimado","ARAÇATUBA","srag"
"18",2024-01-17,11,5,5,5,6,5,5,"Estimado","ARAÇATUBA","srag"
"19",2024-01-24,11,6,7,7,9,7,7,"Estimado","ARAÇATUBA","srag"
"20",2024-01-31,11,7,14,14,17,14,14,"Estimado","ARAÇATUBA","srag"
"21",2024-02-07,11,8,19,19,23,19,20,"Estimado","ARAÇATUBA","srag"
"22",2024-02-14,11,9,20,19,24,19,20,"Estimado","ARAÇATUBA","srag"
"23",2024-02-21,11,10,18,17,23,17,19.25,"Estimado","ARAÇATUBA","srag"
"24",2024-02-28,11,11,6,3,12.025,4,8,"Estimado","ARAÇATUBA","srag"
"25",2024-02-28,11,11,6,3,12.025,4,8,"Previsto","ARAÇATUBA","srag"
"26",2024-03-06,11,12,6,0,26.025,3,11,"Previsto","ARAÇATUBA","srag"
"27",2023-12-20,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-12-27,11,2,6,6,7,6,6,"Estimado","ARARAQUARA","srag"
"29",2024-01-03,11,3,5,5,6,5,5,"Estimado","ARARAQUARA","srag"
"30",2024-01-10,11,4,4,4,5.02499999999998,4,4,"Estimado","ARARAQUARA","srag"
"31",2024-01-17,11,5,8,8,10,8,8,"Estimado","ARARAQUARA","srag"
"32",2024-01-24,11,6,9,9,12,9,9,"Estimado","ARARAQUARA","srag"
"33",2024-01-31,11,7,12,12,17,12,13,"Estimado","ARARAQUARA","srag"
"34",2024-02-07,11,8,19,18,27,18,21,"Estimado","ARARAQUARA","srag"
"35",2024-02-14,11,9,42,37,53,40,44,"Estimado","ARARAQUARA","srag"
"36",2024-02-21,11,10,36,25,60.025,31,42,"Estimado","ARARAQUARA","srag"
"37",2024-02-28,11,11,57,25,140.075,43,75,"Estimado","ARARAQUARA","srag"
"38",2024-02-28,11,11,57,25,140.075,43,75,"Previsto","ARARAQUARA","srag"
