"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-10-11,11,2,1356,1354,1362,1355,1358,"Estimado","ESTADO","srag"
"3",2023-10-18,11,3,1469,1464,1478,1467,1472,"Estimado","ESTADO","srag"
"4",2023-10-25,11,4,1274,1265,1284,1271,1277,"Estimado","ESTADO","srag"
"5",2023-11-01,11,5,1196,1185,1211,1192,1200,"Estimado","ESTADO","srag"
"6",2023-11-08,11,6,1114,1098,1130.025,1108,1119,"Estimado","ESTADO","srag"
"7",2023-11-15,11,7,918,899.975,941,911,926,"Estimado","ESTADO","srag"
"8",2023-11-22,11,8,791,768,824.025,783,801,"Estimado","ESTADO","srag"
"9",2023-11-29,11,9,776,738,822,762.75,792,"Estimado","ESTADO","srag"
"10",2023-12-06,11,10,767,704.975,848.025,744,793,"Estimado","ESTADO","srag"
"11",2023-12-13,11,11,637,492,848.15,582.75,698.5,"Estimado","ESTADO","srag"
"12",2023-12-13,11,11,637,492,848.15,582.75,698.5,"Previsto","ESTADO","srag"
"13",2023-12-20,11,12,583,362,964.15,497.75,678,"Previsto","ESTADO","srag"
"14",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-10-11,11,2,13,13,14,13,13,"Estimado","ARAÇATUBA","srag"
"16",2023-10-18,11,3,16,16,17.025,16,16,"Estimado","ARAÇATUBA","srag"
"17",2023-10-25,11,4,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"18",2023-11-01,11,5,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"19",2023-11-08,11,6,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"20",2023-11-15,11,7,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"21",2023-11-22,11,8,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"22",2023-11-29,11,9,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"23",2023-12-06,11,10,12,12,15,12,13,"Estimado","ARAÇATUBA","srag"
"24",2023-12-13,11,11,4,2,8,3,5,"Estimado","ARAÇATUBA","srag"
"25",2023-12-13,11,11,4,2,8,3,5,"Previsto","ARAÇATUBA","srag"
"26",2023-12-20,11,12,6,1,15,4,8,"Previsto","ARAÇATUBA","srag"
"27",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-10-11,11,2,17,17,18,17,17,"Estimado","ARARAQUARA","srag"
"29",2023-10-18,11,3,13,13,14,13,13,"Estimado","ARARAQUARA","srag"
"30",2023-10-25,11,4,9,9,10,9,9,"Estimado","ARARAQUARA","srag"
"31",2023-11-01,11,5,5,5,6,5,5,"Estimado","ARARAQUARA","srag"
"32",2023-11-08,11,6,6,6,7,6,6,"Estimado","ARARAQUARA","srag"
"33",2023-11-15,11,7,3,3,5,3,3,"Estimado","ARARAQUARA","srag"
"34",2023-11-22,11,8,5,5,7,5,5,"Estimado","ARARAQUARA","srag"
"35",2023-11-29,11,9,4,4,7,4,5,"Estimado","ARARAQUARA","srag"
"36",2023-12-06,11,10,5,4,8,4,6,"Estimado","ARARAQUARA","srag"
"37",2023-12-13,11,11,9,6,17,8,11,"Estimado","ARARAQUARA","srag"
"38",2023-12-13,11,11,9,6,17,8,11,"Previsto","ARARAQUARA","srag"
"39",2023-12-20,11,12,7,1,45,4,14,"Previsto","ARARAQUARA","srag"
"40",2023-10-03,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-10-10,11,2,67,67,71,67,68,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-10-17,11,3,57,56,61,56,57,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-10-24,11,4,49,48,53,48,50,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-10-31,11,5,48,47,53,47,49,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-11-07,11,6,41,39,47,40,43,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-11-14,11,7,37,33,43,35,39,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-11-21,11,8,40,34,48,38,42,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-11-28,11,9,45,38,56,42,48,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-12-05,11,10,45,33,67,40,51,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-12-12,11,11,40,16,86,30,53,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-12-12,11,11,40,16,86,30,53,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-12-19,11,12,39,12,120.05,27,55,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-10-11,11,2,3,3,4,3,3,"Estimado","BARRETOS","srag"
"55",2023-10-18,11,3,8,8,9,8,8,"Estimado","BARRETOS","srag"
"56",2023-10-25,11,4,2,2,4,2,2,"Estimado","BARRETOS","srag"
"57",2023-11-01,11,5,3,3,5,3,3,"Estimado","BARRETOS","srag"
"58",2023-11-08,11,6,3,3,5,3,3,"Estimado","BARRETOS","srag"
"59",2023-11-15,11,7,2,2,4,2,2,"Estimado","BARRETOS","srag"
"60",2023-11-22,11,8,2,2,4,2,3,"Estimado","BARRETOS","srag"
"61",2023-11-29,11,9,0,0,3,0,1,"Estimado","BARRETOS","srag"
"62",2023-12-06,11,10,2,1,5,1,2,"Estimado","BARRETOS","srag"
"63",2023-12-13,11,11,3,2,13,2,5,"Estimado","BARRETOS","srag"
"64",2023-12-13,11,11,3,2,13,2,5,"Previsto","BARRETOS","srag"
"65",2023-12-20,11,12,2,0,24.05,1,4,"Previsto","BARRETOS","srag"
"66",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-10-04,11,2,41,41,43,41,41,"Estimado","BAURU","srag"
"68",2023-10-11,11,3,44,44,47,44,45,"Estimado","BAURU","srag"
"69",2023-10-18,11,4,62,62,66,62,63,"Estimado","BAURU","srag"
"70",2023-10-25,11,5,40,39,43,39,40,"Estimado","BAURU","srag"
"71",2023-11-01,11,6,44,43,48,43,45,"Estimado","BAURU","srag"
"72",2023-11-08,11,7,40,39,44,39,41,"Estimado","BAURU","srag"
"73",2023-11-15,11,8,35,34,39,35,36,"Estimado","BAURU","srag"
"74",2023-11-22,11,9,23,21,28,22,25,"Estimado","BAURU","srag"
"75",2023-11-29,11,10,24,19.975,30,22,26,"Estimado","BAURU","srag"
"76",2023-12-06,11,11,24,14,41,20,29,"Estimado","BAURU","srag"
"77",2023-12-06,11,11,24,14,41,20,29,"Previsto","BAURU","srag"
"78",2023-12-13,11,12,20,7,50.025,15,27,"Previsto","BAURU","srag"
"79",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-10-11,11,2,143,143,145,143,144,"Estimado","CAMPINAS","srag"
"81",2023-10-18,11,3,165,165,168,165,166,"Estimado","CAMPINAS","srag"
"82",2023-10-25,11,4,150,150,154,150,151,"Estimado","CAMPINAS","srag"
"83",2023-11-01,11,5,137,136,141,136,138,"Estimado","CAMPINAS","srag"
"84",2023-11-08,11,6,137,136,141,136,138,"Estimado","CAMPINAS","srag"
"85",2023-11-15,11,7,109,107,114,108,111,"Estimado","CAMPINAS","srag"
"86",2023-11-22,11,8,77,74,82,76,78,"Estimado","CAMPINAS","srag"
"87",2023-11-29,11,9,71,67,77,69,73,"Estimado","CAMPINAS","srag"
"88",2023-12-06,11,10,84,77,94,81.75,87,"Estimado","CAMPINAS","srag"
"89",2023-12-13,11,11,49,32,78,43,58,"Estimado","CAMPINAS","srag"
"90",2023-12-13,11,11,49,32,78,43,58,"Previsto","CAMPINAS","srag"
"91",2023-12-20,11,12,48,22,89,38.75,59,"Previsto","CAMPINAS","srag"
"92",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","FRANCA","srag"
"93",2023-10-04,11,2,12,12,13,12,12,"Estimado","FRANCA","srag"
"94",2023-10-11,11,3,16,16,18,16,16,"Estimado","FRANCA","srag"
"95",2023-10-18,11,4,10,10,12,10,10,"Estimado","FRANCA","srag"
"96",2023-10-25,11,5,16,16,18,16,16,"Estimado","FRANCA","srag"
"97",2023-11-01,11,6,8,8,10,8,8,"Estimado","FRANCA","srag"
"98",2023-11-08,11,7,7,7,9,7,7,"Estimado","FRANCA","srag"
"99",2023-11-15,11,8,8,8,10,8,8,"Estimado","FRANCA","srag"
"100",2023-11-22,11,9,4,4,6,4,5,"Estimado","FRANCA","srag"
"101",2023-11-29,11,10,3,2,7,2,4,"Estimado","FRANCA","srag"
"102",2023-12-06,11,11,5,2,15,4,7,"Estimado","FRANCA","srag"
"103",2023-12-06,11,11,5,2,15,4,7,"Previsto","FRANCA","srag"
"104",2023-12-13,11,12,4,0,20,2,7,"Previsto","FRANCA","srag"
"105",2023-10-18,9,NA,NA,NA,NA,NA,NA,"Estimado","GRANDE SÃO PAULO","srag"
"106",2023-10-25,9,2,612,605,625,609,615,"Estimado","GRANDE SÃO PAULO","srag"
"107",2023-11-01,9,3,587,577,602,583,592,"Estimado","GRANDE SÃO PAULO","srag"
"108",2023-11-08,9,4,494,482,515,490,501,"Estimado","GRANDE SÃO PAULO","srag"
"109",2023-11-15,9,5,426,408.975,450,420,433,"Estimado","GRANDE SÃO PAULO","srag"
"110",2023-11-22,9,6,397,373,429,387,406,"Estimado","GRANDE SÃO PAULO","srag"
"111",2023-11-29,9,7,448,409,502,434,463,"Estimado","GRANDE SÃO PAULO","srag"
"112",2023-12-06,9,8,418,358,500.025,397,443,"Estimado","GRANDE SÃO PAULO","srag"
"113",2023-12-13,9,9,344,228.975,525,301.75,399,"Estimado","GRANDE SÃO PAULO","srag"
"114",2023-12-13,9,9,344,228.975,525,301.75,399,"Previsto","GRANDE SÃO PAULO","srag"
"115",2023-12-20,9,10,324,176.925,583.375,269.75,397.25,"Previsto","GRANDE SÃO PAULO","srag"
"116",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","MARÍLIA","srag"
"117",2023-10-11,11,2,46,46,47,46,46,"Estimado","MARÍLIA","srag"
"118",2023-10-18,11,3,44,44,46,44,44,"Estimado","MARÍLIA","srag"
"119",2023-10-25,11,4,37,37,39,37,37,"Estimado","MARÍLIA","srag"
"120",2023-11-01,11,5,50,50,52,50,50,"Estimado","MARÍLIA","srag"
"121",2023-11-08,11,6,41,41,44,41,41,"Estimado","MARÍLIA","srag"
"122",2023-11-15,11,7,27,27,30,27,28,"Estimado","MARÍLIA","srag"
"123",2023-11-22,11,8,23,23,26,23,24,"Estimado","MARÍLIA","srag"
"124",2023-11-29,11,9,24,23,27,23,25,"Estimado","MARÍLIA","srag"
"125",2023-12-06,11,10,18,15,23,16,19,"Estimado","MARÍLIA","srag"
"126",2023-12-13,11,11,12,4,31,8,17,"Estimado","MARÍLIA","srag"
"127",2023-12-13,11,11,12,4,31,8,17,"Previsto","MARÍLIA","srag"
"128",2023-12-20,11,12,11,1.975,37,6,17,"Previsto","MARÍLIA","srag"
"129",2023-10-04,11,NA,NA,NA,NA,NA,NA,"Estimado","PIRACICABA","srag"
"130",2023-10-11,11,2,33,33,35,33,33,"Estimado","PIRACICABA","srag"
"131",2023-10-18,11,3,46,46,49,46,47,"Estimado","PIRACICABA","srag"
"132",2023-10-25,11,4,35,34,38,34,36,"Estimado","PIRACICABA","srag"
"133",2023-11-01,11,5,29,28,33,28,30,"Estimado","PIRACICABA","srag"
"134",2023-11-08,11,6,23,21,28,22,24,"Estimado","PIRACICABA","srag"
"135",2023-11-15,11,7,33,31,39,32,35,"Estimado","PIRACICABA","srag"
"136",2023-11-22,11,8,22,19,26,20,23,"Estimado","PIRACICABA","srag"
"137",2023-11-29,11,9,17,14,22,16,18,"Estimado","PIRACICABA","srag"
