"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-10-23,1210,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-10-30,1118,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-11-06,1001,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-11-13,835,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-11-20,725,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2023-11-27,710,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2023-12-04,712,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2023-12-11,545,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2023-12-18,492,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2023-12-25,568,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2024-01-01,454,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2024-01-08,469,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2024-01-15,559,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2024-01-22,712,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2024-01-29,928,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2024-02-05,1128,2,1134,1129,1143,1132,1136,"Estimado","ESTADO","srag"
"17",2024-02-12,1335,3,1348,1340.975,1360,1345,1351,"Estimado","ESTADO","srag"
"18",2024-02-19,1271,4,1292,1282,1307,1288,1297,"Estimado","ESTADO","srag"
"19",2024-02-26,1102,5,1131,1119,1147,1127,1136,"Estimado","ESTADO","srag"
"20",2024-03-04,1150,6,1190,1176,1208,1185,1196,"Estimado","ESTADO","srag"
"21",2024-03-11,1059,7,1122,1103,1146.025,1114,1130,"Estimado","ESTADO","srag"
"22",2024-03-18,1056,8,1168,1140.975,1202,1158,1178,"Estimado","ESTADO","srag"
"23",2024-03-25,1198,9,1418,1370,1480,1403,1440,"Estimado","ESTADO","srag"
"24",2024-04-01,969,10,1452,1348.975,1578.025,1415,1495,"Estimado","ESTADO","srag"
"25",2024-04-08,259,11,1399,1142.925,1723.1,1301,1507,"Estimado","ESTADO","srag"
"26",2024-04-08,259,11,1399,1142.925,1723.1,1301,1507,"Previsto","ESTADO","srag"
"27",2024-04-15,NA,12,1500.5,1092.875,2030.2,1351.25,1660.25,"Previsto","ESTADO","srag"
"28",2023-10-23,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-10-30,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-11-06,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-11-13,7,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-11-20,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2023-11-27,8,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2023-12-04,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2023-12-11,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2023-12-18,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2023-12-25,5,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2024-01-01,6,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2024-01-08,4,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2024-01-15,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2024-01-22,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2024-01-29,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2024-02-05,22,2,22,22,23,22,22,"Estimado","ARAÇATUBA","srag"
"44",2024-02-12,16,3,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"45",2024-02-19,14,4,14,14,16.025,14,14,"Estimado","ARAÇATUBA","srag"
"46",2024-02-26,10,5,10,10,12.025,10,10,"Estimado","ARAÇATUBA","srag"
"47",2024-03-04,14,6,14,14,16,14,15,"Estimado","ARAÇATUBA","srag"
"48",2024-03-11,17,7,17,17,20,17,18,"Estimado","ARAÇATUBA","srag"
"49",2024-03-18,14,8,14,14,18,14,15,"Estimado","ARAÇATUBA","srag"
"50",2024-03-25,22,9,23,22,27,22,24,"Estimado","ARAÇATUBA","srag"
"51",2024-04-01,20,10,23,19,30.025,22,25,"Estimado","ARAÇATUBA","srag"
"52",2024-04-08,4,11,21,9,42,16,26,"Estimado","ARAÇATUBA","srag"
"53",2024-04-08,4,11,21,9,42,16,26,"Previsto","ARAÇATUBA","srag"
"54",2024-04-15,NA,12,23,6,65.025,16,32,"Previsto","ARAÇATUBA","srag"
"55",2023-10-28,10,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"56",2023-11-04,8,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"57",2023-11-11,8,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"58",2023-11-18,6,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"59",2023-11-25,7,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"60",2023-12-02,8,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"61",2023-12-09,12,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"62",2023-12-16,3,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"63",2023-12-23,2,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"64",2023-12-30,6,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"65",2024-01-06,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"66",2024-01-13,5,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"67",2024-01-20,8,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"68",2024-01-27,9,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"69",2024-02-03,14,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"70",2024-02-10,21,2,21,21,22,21,21,"Estimado","ARARAQUARA","srag"
"71",2024-02-17,39,3,39,39,41,39,39,"Estimado","ARARAQUARA","srag"
"72",2024-02-24,28,4,28,28,31,28,28,"Estimado","ARARAQUARA","srag"
"73",2024-03-02,30,5,30,30,33,30,30,"Estimado","ARARAQUARA","srag"
"74",2024-03-09,18,6,18,18,21,18,19,"Estimado","ARARAQUARA","srag"
"75",2024-03-16,19,7,20,19,25,19,21,"Estimado","ARARAQUARA","srag"
"76",2024-03-23,13,8,14,13,20,14,16,"Estimado","ARARAQUARA","srag"
"77",2024-03-30,18,9,21,18,28,20,23,"Estimado","ARARAQUARA","srag"
"78",2024-04-06,21,10,26,22,36,24,28,"Estimado","ARARAQUARA","srag"
"79",2024-04-13,4,11,18,7,41.025,13,23,"Estimado","ARARAQUARA","srag"
"80",2024-04-13,4,11,18,7,41.025,13,23,"Previsto","ARARAQUARA","srag"
