"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-07-12,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-07-19,11,2,800,798,805,799,801,"Estimado","ESTADO","srag"
"3",2023-07-26,11,3,816,813,823,815,818,"Estimado","ESTADO","srag"
"4",2023-08-02,11,4,982,977,989,980,984,"Estimado","ESTADO","srag"
"5",2023-08-09,11,5,981,975,991,979,984,"Estimado","ESTADO","srag"
"6",2023-08-16,11,6,986,978,998,983,990,"Estimado","ESTADO","srag"
"7",2023-08-23,11,7,897,887,910,894,901,"Estimado","ESTADO","srag"
"8",2023-08-30,11,8,888,872,906,882,894,"Estimado","ESTADO","srag"
"9",2023-09-06,11,9,965,939,996,956,976,"Estimado","ESTADO","srag"
"10",2023-09-13,11,10,1045,982,1112.05,1022.75,1069,"Estimado","ESTADO","srag"
"11",2023-09-20,11,11,1003,818.975,1247.075,939,1074,"Estimado","ESTADO","srag"
"12",2023-09-20,11,11,1003,818.975,1247.075,939,1074,"Previsto","ESTADO","srag"
"13",2023-09-27,11,12,1034,729.975,1479.025,919,1145,"Previsto","ESTADO","srag"
"14",2023-07-12,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-07-19,11,2,7,7,8,7,7,"Estimado","ARAÇATUBA","srag"
"16",2023-07-26,11,3,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"17",2023-08-02,11,4,9,9,11.025,9,9,"Estimado","ARAÇATUBA","srag"
"18",2023-08-09,11,5,14,14,18,14,15,"Estimado","ARAÇATUBA","srag"
"19",2023-08-16,11,6,15,15,19,15,16,"Estimado","ARAÇATUBA","srag"
"20",2023-08-23,11,7,10,10,14,10,11,"Estimado","ARAÇATUBA","srag"
"21",2023-08-30,11,8,8,8,12,8,9,"Estimado","ARAÇATUBA","srag"
"22",2023-09-06,11,9,22,21,25.025,21,23,"Estimado","ARAÇATUBA","srag"
"23",2023-09-13,11,10,10,9,14,9,11,"Estimado","ARAÇATUBA","srag"
"24",2023-09-20,11,11,11,7,20,9,14,"Estimado","ARAÇATUBA","srag"
