"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-11-01,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-11-08,11,2,1096,1091,1107,1093,1098.25,"Estimado","ESTADO","srag"
"3",2023-11-15,11,3,902,896,912,900,905,"Estimado","ESTADO","srag"
"4",2023-11-22,11,4,756,750,765,753,759,"Estimado","ESTADO","srag"
"5",2023-11-29,11,5,725,719,736,723,728,"Estimado","ESTADO","srag"
"6",2023-12-06,11,6,703,695,716,700,707,"Estimado","ESTADO","srag"
"7",2023-12-13,11,7,665,651,683,660,670.25,"Estimado","ESTADO","srag"
"8",2023-12-20,11,8,528,509,554,521,535,"Estimado","ESTADO","srag"
"9",2023-12-27,11,9,560,529,600.025,549,572,"Estimado","ESTADO","srag"
"10",2024-01-03,11,10,510,455.975,591.025,492,534,"Estimado","ESTADO","srag"
"11",2024-01-10,11,11,418,277.925,609.025,365,477.25,"Estimado","ESTADO","srag"
"12",2024-01-10,11,11,418,277.925,609.025,365,477.25,"Previsto","ESTADO","srag"
"13",2024-01-17,11,12,398.5,197.975,736.15,323,482.25,"Previsto","ESTADO","srag"
"14",2023-11-01,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-11-08,11,2,16,16,17,16,16,"Estimado","ARAÇATUBA","srag"
"16",2023-11-15,11,3,8,8,9,8,8,"Estimado","ARAÇATUBA","srag"
"17",2023-11-22,11,4,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"18",2023-11-29,11,5,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"19",2023-12-06,11,6,16,16,17,16,16,"Estimado","ARAÇATUBA","srag"
"20",2023-12-13,11,7,7,7,8,7,7,"Estimado","ARAÇATUBA","srag"
"21",2023-12-20,11,8,5,5,6.02499999999998,5,5,"Estimado","ARAÇATUBA","srag"
"22",2023-12-27,11,9,4,4,5,4,4,"Estimado","ARAÇATUBA","srag"
"23",2024-01-03,11,10,3,3,4.02499999999998,3,3,"Estimado","ARAÇATUBA","srag"
"24",2024-01-10,11,11,2,1,4,1,2,"Estimado","ARAÇATUBA","srag"
"25",2024-01-10,11,11,2,1,4,1,2,"Previsto","ARAÇATUBA","srag"
"26",2024-01-17,11,12,2,0,7,1,3,"Previsto","ARAÇATUBA","srag"
"27",2023-10-31,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-11-07,11,2,5,5,6,5,5,"Estimado","ARARAQUARA","srag"
"29",2023-11-14,11,3,6,6,7,6,6,"Estimado","ARARAQUARA","srag"
"30",2023-11-21,11,4,5,5,6,5,5,"Estimado","ARARAQUARA","srag"
"31",2023-11-28,11,5,4,4,6,4,4,"Estimado","ARARAQUARA","srag"
"32",2023-12-05,11,6,5,5,7,5,5,"Estimado","ARARAQUARA","srag"
"33",2023-12-12,11,7,10,10,12,10,10,"Estimado","ARARAQUARA","srag"
"34",2023-12-19,11,8,2,2,4,2,2,"Estimado","ARARAQUARA","srag"
"35",2023-12-26,11,9,4,4,6,4,5,"Estimado","ARARAQUARA","srag"
"36",2024-01-02,11,10,5,4,8,4,5,"Estimado","ARARAQUARA","srag"
"37",2024-01-09,11,11,4,1,10,2,5,"Estimado","ARARAQUARA","srag"
"38",2024-01-09,11,11,4,1,10,2,5,"Previsto","ARARAQUARA","srag"
"39",2024-01-16,11,12,4,0,13,2,6,"Previsto","ARARAQUARA","srag"
"40",2023-11-01,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-11-08,11,2,40,40,42,40,40,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-11-15,11,3,35,35,38,35,36,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-11-22,11,4,38,38,42,38,39,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-11-29,11,5,36,35,40,35,37,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-12-06,11,6,40,39,44,40,42,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-12-13,11,7,31,29,36,30,32,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-12-20,11,8,34,31,38,32,35,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-12-27,11,9,26,23,32,25,28,"Estimado","BAIXADA SANTISTA","srag"
"49",2024-01-03,11,10,25,19,37,23,28,"Estimado","BAIXADA SANTISTA","srag"
"50",2024-01-10,11,11,31,17,54,26,38,"Estimado","BAIXADA SANTISTA","srag"
"51",2024-01-10,11,11,31,17,54,26,38,"Previsto","BAIXADA SANTISTA","srag"
"52",2024-01-17,11,12,27,11,63.025,21,37,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-10-25,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-11-01,11,2,3,3,4,3,3,"Estimado","BARRETOS","srag"
"55",2023-11-08,11,3,3,3,4,3,3,"Estimado","BARRETOS","srag"
"56",2023-11-15,11,4,2,2,3,2,2,"Estimado","BARRETOS","srag"
"57",2023-11-22,11,5,2,2,4,2,2,"Estimado","BARRETOS","srag"
"58",2023-11-29,11,6,1,1,3,1,1,"Estimado","BARRETOS","srag"
"59",2023-12-06,11,7,1,1,3,1,1,"Estimado","BARRETOS","srag"
"60",2023-12-13,11,8,2,2,4,2,2,"Estimado","BARRETOS","srag"
"61",2023-12-20,11,9,1,1,3,1,2,"Estimado","BARRETOS","srag"
"62",2023-12-27,11,10,0,0,4,0,1,"Estimado","BARRETOS","srag"
"63",2024-01-03,11,11,2,1,8,1,3,"Estimado","BARRETOS","srag"
"64",2024-01-03,11,11,2,1,8,1,3,"Previsto","BARRETOS","srag"
"65",2024-01-10,11,12,1,0,11,0,3,"Previsto","BARRETOS","srag"
"66",2023-10-25,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-11-01,11,2,44,44,45.025,44,44,"Estimado","BAURU","srag"
"68",2023-11-08,11,3,40,40,42,40,40,"Estimado","BAURU","srag"
"69",2023-11-15,11,4,35,35,38,35,36,"Estimado","BAURU","srag"
"70",2023-11-22,11,5,30,30,33,30,31,"Estimado","BAURU","srag"
"71",2023-11-29,11,6,24.5,24,27,24,25,"Estimado","BAURU","srag"
"72",2023-12-06,11,7,26,25,29,25,27,"Estimado","BAURU","srag"
"73",2023-12-13,11,8,22,21,26,22,23,"Estimado","BAURU","srag"
"74",2023-12-20,11,9,25,23,29,24,26,"Estimado","BAURU","srag"
"75",2023-12-27,11,10,19,16,26,18,21,"Estimado","BAURU","srag"
"76",2024-01-03,11,11,16,7,29,12,19.25,"Estimado","BAURU","srag"
"77",2024-01-03,11,11,16,7,29,12,19.25,"Previsto","BAURU","srag"
"78",2024-01-10,11,12,15,4,34.025,11,21,"Previsto","BAURU","srag"
"79",2023-10-25,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-11-01,11,2,136,136,138,136,136,"Estimado","CAMPINAS","srag"
"81",2023-11-08,11,3,137,137,139.025,137,138,"Estimado","CAMPINAS","srag"
"82",2023-11-15,11,4,112,112,115,112,113,"Estimado","CAMPINAS","srag"
"83",2023-11-22,11,5,78,77,81,77,78,"Estimado","CAMPINAS","srag"
"84",2023-11-29,11,6,74,73,77,73,75,"Estimado","CAMPINAS","srag"
"85",2023-12-06,11,7,86,85,90,86,87,"Estimado","CAMPINAS","srag"
"86",2023-12-13,11,8,57,55,61,56,59,"Estimado","CAMPINAS","srag"
"87",2023-12-20,11,9,67,64,72,66,69,"Estimado","CAMPINAS","srag"
"88",2023-12-27,11,10,48,42.975,56,45,50,"Estimado","CAMPINAS","srag"
"89",2024-01-03,11,11,39,25,59,34,45,"Estimado","CAMPINAS","srag"
"90",2024-01-03,11,11,39,25,59,34,45,"Previsto","CAMPINAS","srag"
"91",2024-01-10,11,12,36,16.975,64,28,44,"Previsto","CAMPINAS","srag"
"92",2023-10-28,11,NA,NA,NA,NA,NA,NA,"Estimado","FRANCA","srag"
"93",2023-11-04,11,2,8,8,9,8,8,"Estimado","FRANCA","srag"
"94",2023-11-11,11,3,7,7,8,7,7,"Estimado","FRANCA","srag"
"95",2023-11-18,11,4,8,8,9,8,8,"Estimado","FRANCA","srag"
"96",2023-11-25,11,5,5,5,6.02499999999998,5,5,"Estimado","FRANCA","srag"
"97",2023-12-02,11,6,2,2,3.02499999999998,2,2,"Estimado","FRANCA","srag"
"98",2023-12-09,11,7,6,6,8,6,6,"Estimado","FRANCA","srag"
"99",2023-12-16,11,8,1,1,3,1,1,"Estimado","FRANCA","srag"
"100",2023-12-23,11,9,3,3,6,3,4,"Estimado","FRANCA","srag"
"101",2023-12-30,11,10,5,4,12,4,6,"Estimado","FRANCA","srag"
"102",2024-01-06,11,11,9,4,44.05,6,14,"Estimado","FRANCA","srag"
"103",2024-01-06,11,11,9,4,44.05,6,14,"Previsto","FRANCA","srag"
"104",2024-01-13,11,12,8,0,185.275,3,20,"Previsto","FRANCA","srag"
"105",2023-11-15,9,NA,NA,NA,NA,NA,NA,"Estimado","GRANDE SÃO PAULO","srag"
"106",2023-11-22,9,2,352,350,360,351,354,"Estimado","GRANDE SÃO PAULO","srag"
"107",2023-11-29,9,3,383,378,392,381,385,"Estimado","GRANDE SÃO PAULO","srag"
"108",2023-12-06,9,4,344,339,355,342,347,"Estimado","GRANDE SÃO PAULO","srag"
"109",2023-12-13,9,5,352,344,368.025,349,356,"Estimado","GRANDE SÃO PAULO","srag"
"110",2023-12-20,9,6,279,264,301,274,286,"Estimado","GRANDE SÃO PAULO","srag"
"111",2023-12-27,9,7,277,254,314,269,287,"Estimado","GRANDE SÃO PAULO","srag"
"112",2024-01-03,9,8,253,206,335,236,274,"Estimado","GRANDE SÃO PAULO","srag"
"113",2024-01-10,9,9,199,118.975,371.15,162,242,"Estimado","GRANDE SÃO PAULO","srag"
"114",2024-01-10,9,9,199,118.975,371.15,162,242,"Previsto","GRANDE SÃO PAULO","srag"
"115",2024-01-17,9,10,192,73,393.05,145,247,"Previsto","GRANDE SÃO PAULO","srag"
"116",2023-10-25,11,NA,NA,NA,NA,NA,NA,"Estimado","MARÍLIA","srag"
"117",2023-11-01,11,2,50,50,51,50,50,"Estimado","MARÍLIA","srag"
"118",2023-11-08,11,3,41,41,42,41,41,"Estimado","MARÍLIA","srag"
"119",2023-11-15,11,4,28,28,29,28,28,"Estimado","MARÍLIA","srag"
"120",2023-11-22,11,5,23,23,24,23,23,"Estimado","MARÍLIA","srag"
"121",2023-11-29,11,6,26,26,27,26,26,"Estimado","MARÍLIA","srag"
"122",2023-12-06,11,7,21,21,22,21,21,"Estimado","MARÍLIA","srag"
"123",2023-12-13,11,8,16,16,18,16,16,"Estimado","MARÍLIA","srag"
"124",2023-12-20,11,9,12,12,15,12,13,"Estimado","MARÍLIA","srag"
"125",2023-12-27,11,10,9,8,13,9,11,"Estimado","MARÍLIA","srag"
"126",2024-01-03,11,11,14,8,29,12,18,"Estimado","MARÍLIA","srag"
"127",2024-01-03,11,11,14,8,29,12,18,"Previsto","MARÍLIA","srag"
"128",2024-01-10,11,12,9,2,34,6,15,"Previsto","MARÍLIA","srag"
"129",2023-11-01,11,NA,NA,NA,NA,NA,NA,"Estimado","PIRACICABA","srag"
"130",2023-11-08,11,2,21,21,22,21,21,"Estimado","PIRACICABA","srag"
"131",2023-11-15,11,3,32,32,34,32,32,"Estimado","PIRACICABA","srag"
"132",2023-11-22,11,4,19,19,21,19,19,"Estimado","PIRACICABA","srag"
"133",2023-11-29,11,5,15,15,16.025,15,15,"Estimado","PIRACICABA","srag"
"134",2023-12-06,11,6,5,5,7,5,5,"Estimado","PIRACICABA","srag"
"135",2023-12-13,11,7,11,11,13,11,12,"Estimado","PIRACICABA","srag"
"136",2023-12-20,11,8,9,9,12,9,10,"Estimado","PIRACICABA","srag"
"137",2023-12-27,11,9,9,8,12,8,10,"Estimado","PIRACICABA","srag"
"138",2024-01-03,11,10,10,8,15,9,11,"Estimado","PIRACICABA","srag"
"139",2024-01-10,11,11,12,7,26.025,10,15,"Estimado","PIRACICABA","srag"
"140",2024-01-10,11,11,12,7,26.025,10,15,"Previsto","PIRACICABA","srag"
"141",2024-01-17,11,12,9,1,50.025,5,16,"Previsto","PIRACICABA","srag"
"142",2023-10-25,11,NA,NA,NA,NA,NA,NA,"Estimado","PRESIDENTE PRUDENTE","srag"
"143",2023-11-01,11,2,9,9,12,9,9,"Estimado","PRESIDENTE PRUDENTE","srag"
"144",2023-11-08,11,3,8,8,11,8,8,"Estimado","PRESIDENTE PRUDENTE","srag"
"145",2023-11-15,11,4,11,11,14.025,11,12,"Estimado","PRESIDENTE PRUDENTE","srag"
"146",2023-11-22,11,5,10,10,15,10,11,"Estimado","PRESIDENTE PRUDENTE","srag"
"147",2023-11-29,11,6,2,1,7,1,3,"Estimado","PRESIDENTE PRUDENTE","srag"
"148",2023-12-06,11,7,4,3,8.02499999999998,3,5,"Estimado","PRESIDENTE PRUDENTE","srag"
"149",2023-12-13,11,8,4,3,10,3,5,"Estimado","PRESIDENTE PRUDENTE","srag"
"150",2023-12-20,11,9,2,1,10.025,1,4,"Estimado","PRESIDENTE PRUDENTE","srag"
"151",2023-12-27,11,10,4,2,14,3,6,"Estimado","PRESIDENTE PRUDENTE","srag"
"152",2024-01-03,11,11,2,0,20.025,1,5,"Estimado","PRESIDENTE PRUDENTE","srag"
"153",2024-01-03,11,11,2,0,20.025,1,5,"Previsto","PRESIDENTE PRUDENTE","srag"
"154",2024-01-10,11,12,3,0,26.0749999999999,1,5,"Previsto","PRESIDENTE PRUDENTE","srag"
"155",2023-10-24,11,NA,NA,NA,NA,NA,NA,"Estimado","REGISTRO","srag"
"156",2023-10-31,11,2,8,8,9,8,8,"Estimado","REGISTRO","srag"
