"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-11-15,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-11-22,11,2,753,751,759,752,755,"Estimado","ESTADO","srag"
"3",2023-11-29,11,3,721.5,718,728,720,723,"Estimado","ESTADO","srag"
"4",2023-12-06,11,4,707,702,714.025,705,709,"Estimado","ESTADO","srag"
"5",2023-12-13,11,5,662,656,670,660,665,"Estimado","ESTADO","srag"
"6",2023-12-20,11,6,514,507,525,511,517,"Estimado","ESTADO","srag"
"7",2023-12-27,11,7,532,522,545,528,535,"Estimado","ESTADO","srag"
"8",2024-01-03,11,8,494,480,512,489,500,"Estimado","ESTADO","srag"
"9",2024-01-10,11,9,445,423,473,436,454,"Estimado","ESTADO","srag"
"10",2024-01-17,11,10,480,428,550.05,459,502,"Estimado","ESTADO","srag"
"11",2024-01-24,11,11,497,363.975,706.05,444,563,"Estimado","ESTADO","srag"
"12",2024-01-24,11,11,497,363.975,706.05,444,563,"Previsto","ESTADO","srag"
"13",2024-01-31,11,12,472,267.95,887.2,394.75,576,"Previsto","ESTADO","srag"
"14",2023-11-15,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-11-22,11,2,10,10,11,10,10,"Estimado","ARAÇATUBA","srag"
"16",2023-11-29,11,3,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"17",2023-12-06,11,4,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"18",2023-12-13,11,5,7,7,9,7,7,"Estimado","ARAÇATUBA","srag"
"19",2023-12-20,11,6,5,5,6,5,5,"Estimado","ARAÇATUBA","srag"
"20",2023-12-27,11,7,4,4,5,4,4,"Estimado","ARAÇATUBA","srag"
"21",2024-01-03,11,8,3,3,4.02499999999998,3,3,"Estimado","ARAÇATUBA","srag"
"22",2024-01-10,11,9,5,5,7,5,5,"Estimado","ARAÇATUBA","srag"
"23",2024-01-17,11,10,5,5,7,5,6,"Estimado","ARAÇATUBA","srag"
"24",2024-01-24,11,11,5,4,9,4,6,"Estimado","ARAÇATUBA","srag"
"25",2024-01-24,11,11,5,4,9,4,6,"Previsto","ARAÇATUBA","srag"
"26",2024-01-31,11,12,4,0,18,2,7,"Previsto","ARAÇATUBA","srag"
"27",2023-11-08,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-11-15,11,2,5,4,10,4,6,"Estimado","ARARAQUARA","srag"
"29",2023-11-22,11,3,8,6,13,7,9,"Estimado","ARARAQUARA","srag"
"30",2023-11-29,11,4,7,5,14,6,9,"Estimado","ARARAQUARA","srag"
"31",2023-12-06,11,5,10,7,17,8,11,"Estimado","ARARAQUARA","srag"
"32",2023-12-13,11,6,11,8,19,10,13,"Estimado","ARARAQUARA","srag"
"33",2023-12-20,11,7,6,3,14,5,8,"Estimado","ARARAQUARA","srag"
"34",2023-12-27,11,8,7,4,14,6,9,"Estimado","ARARAQUARA","srag"
"35",2024-01-03,11,9,8,4,15,6,10,"Estimado","ARARAQUARA","srag"
"36",2024-01-10,11,10,7,3,16,5,9,"Estimado","ARARAQUARA","srag"
"37",2024-01-17,11,11,10,5,21,8,13,"Estimado","ARARAQUARA","srag"
"38",2024-01-17,11,11,10,5,21,8,13,"Previsto","ARARAQUARA","srag"
"39",2024-01-24,11,12,9,2,32,6,14,"Previsto","ARARAQUARA","srag"
"40",2023-11-15,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-11-22,11,2,38,38,40,38,38,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-11-29,11,3,34,34,36,34,34,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-12-06,11,4,39,39,42,39,40,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-12-13,11,5,30,29,33,29,30,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-12-20,11,6,34,33,37,33,35,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-12-27,11,7,25,23,29,24,26,"Estimado","BAIXADA SANTISTA","srag"
"47",2024-01-03,11,8,22,20,26,21,23,"Estimado","BAIXADA SANTISTA","srag"
"48",2024-01-10,11,9,23,20,28,22,24,"Estimado","BAIXADA SANTISTA","srag"
"49",2024-01-17,11,10,22,16,32,20,25,"Estimado","BAIXADA SANTISTA","srag"
"50",2024-01-24,11,11,28,15,55,23,34,"Estimado","BAIXADA SANTISTA","srag"
"51",2024-01-24,11,11,28,15,55,23,34,"Previsto","BAIXADA SANTISTA","srag"
"52",2024-01-31,11,12,24.5,9,85,19,34,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-11-15,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-11-22,11,2,2,2,3,2,2,"Estimado","BARRETOS","srag"
"55",2023-11-29,11,3,1,1,2,1,1,"Estimado","BARRETOS","srag"
"56",2023-12-06,11,4,1,1,3,1,1,"Estimado","BARRETOS","srag"
"57",2023-12-13,11,5,2,2,4,2,2,"Estimado","BARRETOS","srag"
"58",2023-12-20,11,6,1,1,3,1,1,"Estimado","BARRETOS","srag"
"59",2023-12-27,11,7,0,0,3,0,0,"Estimado","BARRETOS","srag"
"60",2024-01-03,11,8,2,2,5,2,3,"Estimado","BARRETOS","srag"
"61",2024-01-10,11,9,1,1,6,1,2,"Estimado","BARRETOS","srag"
"62",2024-01-17,11,10,4,3,12,3,6,"Estimado","BARRETOS","srag"
"63",2024-01-24,11,11,4,1,21,2,7,"Estimado","BARRETOS","srag"
"64",2024-01-24,11,11,4,1,21,2,7,"Previsto","BARRETOS","srag"
"65",2024-01-31,11,12,4,0,73.025,2,10,"Previsto","BARRETOS","srag"
"66",2023-11-08,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-11-15,11,2,35,35,36,35,35,"Estimado","BAURU","srag"
"68",2023-11-22,11,3,30,30,32,30,30,"Estimado","BAURU","srag"
"69",2023-11-29,11,4,26,26,28,26,26,"Estimado","BAURU","srag"
"70",2023-12-06,11,5,25,25,27,25,26,"Estimado","BAURU","srag"
"71",2023-12-13,11,6,21,21,24,21,22,"Estimado","BAURU","srag"
"72",2023-12-20,11,7,25,24,28,24,25,"Estimado","BAURU","srag"
"73",2023-12-27,11,8,23,22,26.025,22,24,"Estimado","BAURU","srag"
"74",2024-01-03,11,9,16,14,20,15,17,"Estimado","BAURU","srag"
"75",2024-01-10,11,10,13,10,18,11,15,"Estimado","BAURU","srag"
"76",2024-01-17,11,11,15,8,25,12,18,"Estimado","BAURU","srag"
"77",2024-01-17,11,11,15,8,25,12,18,"Previsto","BAURU","srag"
"78",2024-01-24,11,12,13,3,26,9,17,"Previsto","BAURU","srag"
"79",2023-11-15,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-11-22,11,2,78,78,80,78,78,"Estimado","CAMPINAS","srag"
"81",2023-11-29,11,3,76,76,79,76,77,"Estimado","CAMPINAS","srag"
"82",2023-12-06,11,4,87,87,90.025,87,88,"Estimado","CAMPINAS","srag"
"83",2023-12-13,11,5,59,58,62,58,60,"Estimado","CAMPINAS","srag"
"84",2023-12-20,11,6,71,70,75,70,72,"Estimado","CAMPINAS","srag"
"85",2023-12-27,11,7,54,52,58,53,55,"Estimado","CAMPINAS","srag"
"86",2024-01-03,11,8,50,47,54,48.75,51,"Estimado","CAMPINAS","srag"
"87",2024-01-10,11,9,43,39,49,41,45,"Estimado","CAMPINAS","srag"
"88",2024-01-17,11,10,63,56,72,60,66,"Estimado","CAMPINAS","srag"
"89",2024-01-24,11,11,39,23.975,61.025,33,47,"Estimado","CAMPINAS","srag"
"90",2024-01-24,11,11,39,23.975,61.025,33,47,"Previsto","CAMPINAS","srag"
"91",2024-01-31,11,12,42,19,74,33,51,"Previsto","CAMPINAS","srag"
"92",2023-11-07,11,NA,NA,NA,NA,NA,NA,"Estimado","FRANCA","srag"
"93",2023-11-14,11,2,8,8,9,8,8,"Estimado","FRANCA","srag"
"94",2023-11-21,11,3,5,5,6,5,5,"Estimado","FRANCA","srag"
"95",2023-11-28,11,4,2,2,4,2,2,"Estimado","FRANCA","srag"
"96",2023-12-05,11,5,6,6,7,6,6,"Estimado","FRANCA","srag"
"97",2023-12-12,11,6,1,1,2,1,1,"Estimado","FRANCA","srag"
"98",2023-12-19,11,7,3,3,5,3,3,"Estimado","FRANCA","srag"
"99",2023-12-26,11,8,5,5,7,5,5,"Estimado","FRANCA","srag"
"100",2024-01-02,11,9,7,7,10,7,8,"Estimado","FRANCA","srag"
"101",2024-01-09,11,10,3,2,9,2,4,"Estimado","FRANCA","srag"
